"commentAuthor","month","nocomm"
"dev57","2010-12",47
"dev57","2011-03",22
"dev22","2011-02",13
"dev57","2011-02",55
"dev22","2010-03",47
"dev61","2010-03",222
"dev30","2006-12",198
"dev20","2009-05",104
"dev20","2009-06",13
"dev4","2009-05",106
"dev4","2009-03",132
"dev30","2006-10",126
"dev62","2007-07",37
"dev31","2006-08",22
"dev22","2006-08",56
"dev22","2006-10",20
"dev57","2012-06",6
"dev57","2012-07",1
"dev27","2011-11",32
"dev57","2011-12",8
"dev59","2011-06",87
"dev57","2012-01",17
"dev57","2011-07",50
"dev59","2011-02",62
"dev57","2012-03",7
"dev61","2012-05",2
"dev27","2012-05",12
"dev25","2004-09",55
"dev30","2005-01",9
"dev4","2005-01",79
"dev25","2005-01",40
"dev30","2005-11",37
"dev30","2006-05",31
"dev57","2012-04",1
"dev4","2008-10",195
"dev20","2008-10",161
"dev20","2008-11",181
"dev4","2008-11",206
"dev4","2008-12",258
"dev20","2008-12",81
"dev4","2009-01",128
"dev20","2009-01",76
"dev28","2009-01",23
"dev20","2009-02",70
"dev20","2009-03",48
"dev20","2009-04",112
"dev23","2009-04",1
"dev4","2009-04",231
"dev29","2009-05",24
"dev4","2009-06",76
"dev57","2011-08",17
"dev57","2011-06",37
"dev57","2011-01",63
"dev57","2011-11",8
"dev57","2012-02",5
"dev22","2010-12",6
"dev57","2011-05",47
"dev27","2012-03",15
"dev21","2009-03",31
"dev23","2010-01",10
"dev57","2011-09",11
"dev57","2011-04",7
"dev33","2008-10",13
"dev61","2011-08",7
"dev59","2010-02",61
"dev61","2010-04",268
"dev57","2011-10",5
"dev27","2011-08",5
"dev61","2011-06",27
"dev33","2011-06",3
"dev22","2011-06",1
"dev22","2011-03",1
"dev22","2010-08",30
"dev28","2008-12",77
"dev4","2009-02",148
"dev28","2009-02",42
"dev28","2009-03",33
"dev22","2010-02",20
"dev22","2010-05",22
"dev22","2010-11",6
"dev57","2010-11",8
"dev22","2010-07",23
"dev24","2010-06",22
"dev4","2009-10",221
"dev22","2009-12",26
"dev31","2011-03",2
"dev22","2011-04",1
"dev22","2009-10",55
"dev57","2010-10",11
"dev22","2010-10",9
"dev22","2010-01",32
"dev22","2008-12",2
"dev23","2009-09",11
"dev4","2009-11",132
"dev59","2010-01",8
"dev23","2010-03",3
"dev22","2010-09",24
"dev22","2009-07",34
"dev22","2008-11",1
"dev29","2008-11",33
"dev4","2011-01",8
"dev22","2010-06",8
"dev24","2010-11",11
"dev4","2010-02",3
"dev61","2010-05",309
"dev22","2009-09",68
"dev20","2008-09",102
"dev29","2010-07",3
