"name","month","opened","responses","activities"
"dev22","2006-08",0,0,39
"dev26","2006-08",0,0,11
"dev62","2006-08",0,0,21
"dev31","2006-08",0,0,32
"dev25","2006-08",0,0,2
"dev27","2006-08",0,0,1
"dev4","2006-08",0,0,12
"dev20","2006-08",0,0,16
"dev23","2006-08",0,0,4
"dev65","2006-08",0,0,6
"dev21","2006-08",0,0,6
"dev63","2006-08",0,0,3
"dev28","2006-08",0,0,4
"dev31","2006-09",0,0,32
"dev4","2006-12",0,0,18
"dev61","2006-12",0,0,2
"dev28","2006-12",0,0,5
"dev22","2006-12",0,0,14
"dev64","2006-12",0,0,10
"dev20","2006-12",0,0,8
"dev23","2006-12",0,0,5
"dev63","2006-12",0,0,3
"dev65","2006-12",0,0,15
"dev21","2006-12",0,0,4
"dev27","2006-12",0,0,3
"dev26","2006-12",0,0,1
"dev62","2006-07",0,0,14
"dev31","2006-07",0,0,23
"dev65","2006-07",0,0,9
"dev4","2006-07",0,0,24
"dev20","2006-07",0,0,26
"dev26","2006-07",0,0,13
"dev28","2006-07",0,0,5
"dev22","2006-07",0,0,42
"dev29","2006-07",0,0,1
"dev30","2006-07",0,0,11
"dev27","2006-07",0,0,3
"dev25","2006-07",0,0,1
"dev23","2006-07",0,0,5
"dev58","2006-07",0,0,2
"dev61","2006-07",0,0,3
"dev32","2006-07",0,0,1
"dev23","2006-06",0,0,7
"dev25","2006-06",0,0,12
"dev62","2006-06",0,0,11
"dev22","2006-06",0,0,11
"dev4","2006-06",0,0,32
"dev65","2006-06",0,0,12
"dev58","2006-06",0,0,7
"dev27","2006-06",0,0,3
"dev20","2006-06",0,0,24
"dev31","2006-06",0,0,28
"dev28","2006-06",0,0,21
"dev30","2006-06",0,0,1
"dev21","2006-06",0,0,3
"dev63","2006-06",0,0,6
"dev26","2006-06",0,0,6
"dev25","2006-05",0,0,10
"dev20","2006-05",0,0,6
"dev4","2006-05",0,0,4
"dev31","2006-05",0,0,7
"dev22","2006-05",0,0,8
"dev58","2006-05",0,0,1
"dev65","2006-05",0,0,7
"dev23","2006-05",0,0,5
"dev26","2006-05",0,0,1
"dev63","2006-05",0,0,1
"dev62","2006-05",0,0,2
"dev21","2006-11",0,0,13
"dev4","2006-11",0,0,27
"dev20","2006-11",0,0,15
"dev31","2006-11",0,0,7
"dev22","2006-11",0,0,22
"dev30","2006-11",0,0,6
"dev28","2006-11",0,0,7
"dev61","2006-11",0,0,4
"dev26","2006-11",0,0,9
"dev23","2006-11",0,0,2
"dev63","2006-11",0,0,1
"dev65","2006-11",0,0,3
"dev29","2006-11",0,0,1
"dev25","2006-11",0,0,2
"dev64","2006-11",0,0,2
"dev31","2006-10",0,0,14
"dev65","2006-10",0,0,3
"dev20","2006-10",0,0,20
"dev29","2006-10",0,0,5
"dev4","2006-10",0,0,12
"dev62","2006-10",0,0,7
"dev30","2006-10",0,0,2
"dev26","2006-10",0,0,2
"dev23","2006-10",0,0,4
"dev28","2006-10",0,0,3
