"name","month","dnoc","bugfixes"
"dev4","2003-09",16,5
"dev25","2003-09",2,1
"dev66","2003-09",6,3
"dev4","2003-10",16,13
"dev66","2003-10",42,11
"dev25","2003-10",5,1
"dev4","2003-11",35,20
"dev66","2003-11",23,8
"dev25","2003-11",19,11
"dev32","2003-11",3,1
"dev4","2003-12",51,30
"dev25","2003-12",34,16
"dev66","2003-12",24,5
"dev32","2003-12",6,0
"dev67","2003-12",1,0
"dev25","2004-01",47,5
"dev4","2004-01",72,27
"dev32","2004-01",14,4
"dev66","2004-01",19,4
"dev4","2004-02",129,17
"dev25","2004-02",47,21
"dev32","2004-02",16,5
"dev66","2004-02",22,4
"dev25","2004-03",70,26
"dev4","2004-03",96,30
"dev32","2004-03",3,3
"dev66","2004-03",10,2
"dev25","2004-04",38,9
"dev4","2004-04",116,27
"dev66","2004-04",23,10
"dev32","2004-04",18,8
"dev4","2004-05",95,17
"dev32","2004-05",49,27
"dev25","2004-05",5,8
"dev67","2004-05",0,1
"dev66","2004-05",6,2
"dev32","2004-06",26,6
"dev25","2004-06",66,25
"dev4","2004-06",135,39
"dev66","2004-06",3,0
"dev25","2004-07",43,22
"dev4","2004-07",108,44
"dev66","2004-07",2,0
"dev32","2004-07",1,1
"dev25","2004-08",67,21
"dev4","2004-08",120,63
"dev32","2004-08",40,10
"dev4","2004-09",158,48
"dev32","2004-09",43,13
"dev67","2004-09",1,0
"dev25","2004-09",41,17
"dev4","2004-10",110,15
"dev32","2004-10",18,4
"dev25","2004-10",31,3
"dev67","2004-10",0,2
"dev20","2004-10",6,1
"dev25","2004-11",41,14
"dev20","2004-11",46,9
"dev4","2004-11",84,14
"dev32","2004-11",54,12
"dev32","2004-12",46,11
"dev4","2004-12",82,13
"dev25","2004-12",20,10
"dev4","2005-01",141,21
"dev32","2005-01",36,9
"dev25","2005-01",86,33
"dev32","2005-02",44,8
"dev25","2005-02",107,42
"dev4","2005-02",144,35
"dev31","2005-02",16,2
"dev32","2005-03",22,1
"dev4","2005-03",100,21
"dev20","2005-03",32,8
"dev31","2005-03",14,4
"dev30","2005-03",9,7
"dev25","2005-03",11,0
"dev66","2005-03",1,0
"dev20","2005-04",64,10
"dev4","2005-04",57,20
"dev25","2005-04",21,6
"dev30","2005-04",21,6
"dev31","2005-04",10,5
"dev67","2005-04",1,0
"dev63","2005-04",6,1
"dev32","2005-04",2,0
"dev66","2005-04",9,1
"dev20","2005-05",75,15
"dev31","2005-05",6,0
"dev30","2005-05",10,11
"dev4","2005-05",88,26
"dev25","2005-05",2,0
"dev32","2005-05",4,2
"dev20","2005-06",82,19
"dev4","2005-06",59,25
"dev31","2005-06",2,2
"dev32","2005-06",1,0
"dev30","2005-06",19,3
"dev58","2005-06",10,2
"dev63","2005-06",7,3
"dev29","2005-06",10,0
"dev20","2005-07",68,17
"dev4","2005-07",65,10
"dev29","2005-07",5,1
"dev30","2005-07",11,6
"dev31","2005-07",24,4
"dev58","2005-07",42,4
"dev63","2005-07",12,12
"dev25","2005-07",3,3
"dev66","2005-07",0,1
"dev62","2005-07",1,0
"dev20","2005-08",67,17
"dev58","2005-08",24,8
"dev4","2005-08",75,29
"dev31","2005-08",18,10
"dev30","2005-08",40,15
"dev62","2005-08",6,1
"dev63","2005-08",12,6
"dev29","2005-08",1,0
"dev67","2005-08",6,5
"dev66","2005-08",3,1
"dev20","2005-09",56,18
"dev4","2005-09",69,22
"dev31","2005-09",25,9
"dev66","2005-09",0,1
"dev63","2005-09",4,3
"dev30","2005-09",25,9
"dev62","2005-09",8,0
"dev58","2005-09",30,6
"dev25","2005-09",4,0
"dev29","2005-09",1,0
"dev4","2005-10",108,27
"dev62","2005-10",15,1
"dev20","2005-10",86,26
"dev58","2005-10",24,5
"dev31","2005-10",30,7
"dev29","2005-10",3,0
"dev30","2005-10",19,12
"dev32","2005-10",2,0
"dev26","2005-10",16,3
"dev22","2005-10",7,3
"dev63","2005-10",5,2
"dev20","2005-11",102,23
"dev4","2005-11",159,41
"dev31","2005-11",14,9
"dev58","2005-11",37,5
"dev62","2005-11",4,0
"dev30","2005-11",21,9
"dev63","2005-11",20,12
"dev30","2005-12",11,9
"dev4","2005-12",78,13
"dev31","2005-12",8,1
"dev63","2005-12",11,2
"dev58","2005-12",27,8
"dev63","2006-01",13,7
"dev4","2006-01",87,22
"dev30","2006-01",35,4
"dev4","2006-02",68,14
"dev58","2006-02",44,9
"dev30","2006-02",22,5
"dev30","2006-03",18,6
"dev63","2006-03",15,5
"dev4","2006-03",55,36
"dev65","2006-03",6,1
"dev58","2006-03",13,2
"dev26","2005-11",66,20
"dev32","2005-11",5,0
"dev22","2005-11",7,5
"dev29","2005-11",0,1
"dev26","2005-12",70,13
"dev20","2005-12",64,13
"dev62","2005-12",1,1
"dev22","2005-12",24,7
"dev32","2005-12",2,0
"dev20","2006-01",15,2
"dev62","2006-01",4,1
"dev58","2006-01",18,6
"dev26","2006-01",64,10
"dev22","2006-01",26,8
"dev32","2006-01",3,0
"dev27","2006-02",16,8
"dev32","2006-02",0,1
"dev26","2006-02",53,8
"dev22","2006-02",15,11
"dev31","2006-02",2,0
"dev63","2006-02",16,2
"dev62","2006-02",5,0
"dev67","2006-02",0,1
"dev26","2006-03",61,12
"dev20","2006-03",65,14
"dev61","2006-03",1,0
"dev27","2006-03",1,0
"dev62","2006-03",1,0
"dev22","2006-03",4,2
