"commentAuthor","month","nocomm"
"dev1","2013-06",9
"dev1","2012-06",24
"dev1","2011-10",20
"dev1","2011-01",22
"dev49","2010-10",3
"dev1","2009-09",28
"dev1","2009-05",36
"dev1","2009-04",8
"dev1","2008-04",7
"dev1","2008-12",51
"dev1","2008-07",117
"dev11","2007-04",17
"dev1","2007-01",6
"dev1","2006-09",5
"dev1","2006-01",8
"dev9","2013-12",1
"dev1","2011-06",2
"dev75","2001-09",34
"dev75","2001-11",20
"dev1","2005-04",17
"dev10","2003-07",99
"dev1","2002-11",103
"dev11","2003-03",56
"dev1","2003-03",128
"dev78","2014-06",2
"dev1","2014-05",8
"dev11","2007-10",14
"dev1","2007-12",2
"dev1","2008-06",8
"dev1","2010-04",35
"dev49","2014-02",1
"dev79","2012-05",6
"dev1","2011-12",25
"dev1","2011-03",2
"dev11","2006-09",12
"dev10","2010-12",11
"dev1","2009-07",90
"dev78","2007-11",2
"dev11","2006-03",8
"dev11","2006-05",6
"dev11","2006-06",30
"dev1","2006-11",1
"dev49","2007-06",8
"dev78","2014-04",1
"dev10","2013-04",7
"dev1","2014-01",68
"dev1","2013-12",34
"dev78","2013-06",1
"dev10","2011-01",3
"dev10","2013-03",33
"dev79","2012-07",4
"dev1","2001-06",46
"dev49","2012-05",17
"dev1","2012-02",20
"dev1","2012-01",8
"dev1","2011-07",7
"dev49","2010-08",3
"dev8","2003-01",92
"dev79","2010-06",20
"dev49","2010-03",4
"dev78","2006-06",5
"dev9","2006-06",34
"dev49","2010-01",4
"dev49","2006-03",13
"dev9","2006-04",39
"dev9","2004-04",49
"dev78","2004-05",13
"dev79","2008-11",7
"dev1","2008-11",89
"dev1","2008-09",80
"dev1","2008-08",87
"dev11","2005-08",23
"dev11","2006-07",37
"dev1","2004-06",54
"dev1","2005-03",149
"dev11","2008-03",3
"dev8","2001-08",59
"dev8","2002-02",19
"dev11","2002-06",38
"dev1","2002-06",90
"dev74","2002-08",68
"dev11","2002-10",15
"dev11","2002-12",8
"dev8","2003-02",158
"dev78","2003-10",10
"dev1","2004-11",32
"dev11","2004-11",22
"dev8","2004-11",9
"dev49","2005-07",10
"dev75","2001-12",24
"dev11","2002-02",36
"dev79","2002-06",12
"dev8","2003-07",49
"dev8","2002-10",4
"dev10","2003-02",26
"dev48","2003-02",5
"dev11","2003-02",11
"dev1","2003-10",97
"dev11","2004-06",6
"dev49","2005-03",16
"dev10","2006-04",8
"dev73","2001-04",6
"dev74","2001-08",10
"dev8","2002-06",32
"dev8","2002-03",11
"dev74","2004-11",24
"dev11","2004-03",11
"dev75","2002-02",58
"dev1","2002-03",29
"dev11","2002-08",17
"dev9","2005-05",110
"dev8","2003-03",20
"dev78","2004-07",9
"dev78","2004-12",6
"dev9","2005-01",40
"dev78","2006-12",5
"dev9","2006-10",16
"dev8","2001-07",64
"dev11","2001-09",10
"dev75","2001-10",20
"dev8","2002-01",19
"dev11","2002-03",29
"dev72","2002-06",10
"dev1","2002-07",51
"dev1","2002-08",13
"dev11","2005-02",36
"dev79","2003-03",22
"dev10","2003-11",15
"dev9","2005-09",23
"dev48","2002-03",20
"dev11","2002-04",33
"dev79","2003-02",19
"dev11","2003-04",20
"dev1","2003-08",49
"dev49","2005-10",20
"dev11","2005-10",14
"dev9","2006-11",26
"dev11","2001-10",14
"dev1","2003-01",71
"dev10","2003-06",45
"dev8","2006-06",3
"dev79","2003-04",14
"dev1","2003-04",131
"dev8","2003-08",31
"dev11","2003-11",12
"dev11","2004-07",2
"dev49","2005-01",24
"dev49","2006-11",5
"dev73","2001-07",10
"dev1","2001-07",41
"dev1","2002-01",8
"dev1","2002-02",53
"dev74","2002-06",26
"dev49","2005-06",12
"dev8","2002-12",16
"dev1","2003-02",64
"dev10","2003-04",19
"dev10","2004-07",31
"dev8","2004-07",1
"dev1","2005-02",22
"dev9","2005-03",41
"dev11","2005-03",43
"dev11","2006-11",15
"dev10","2006-11",8
"dev10","2006-12",2
"dev73","2001-02",20
"dev34","2001-10",11
"dev11","2002-01",23
"dev1","2002-04",104
"dev8","2003-09",21
"dev78","2004-01",13
"dev79","2004-05",16
"dev78","2005-03",11
"dev11","2005-11",26
"dev1","2001-10",34
"dev8","2002-04",24
"dev48","2002-07",5
"dev72","2002-07",16
"dev1","2002-09",80
"dev1","2002-10",33
"dev11","2003-01",21
"dev8","2003-04",22
"dev11","2003-12",3
"dev1","2004-01",17
"dev79","2004-08",7
"dev8","2004-08",5
"dev10","2005-11",14
"dev9","2007-01",12
"dev8","2001-02",21
"dev72","2001-10",2
"dev72","2002-01",1
"dev74","2002-07",66
"dev9","2004-08",30
"dev78","2005-11",4
"dev11","2007-03",16
"dev9","2007-03",9
"dev8","2001-10",15
"dev1","2001-11",41
"dev9","2004-06",31
"dev8","2002-05",25
"dev11","2002-07",25
"dev9","2004-11",29
"dev11","2003-08",29
"dev11","2004-09",8
"dev1","2004-09",31
"dev1","2004-10",23
"dev9","2005-12",29
"dev74","2001-07",4
"dev74","2001-11",43
"dev1","2002-05",44
"dev78","2003-09",28
"dev11","2003-05",21
"dev11","2005-01",14
"dev11","2004-02",10
"dev11","2004-10",25
"dev11","2005-12",9
"dev11","2007-06",29
"dev1","2001-02",9
"dev73","2002-01",1
"dev75","2002-05",11
"dev10","2003-10",30
"dev10","2003-03",33
"dev8","2003-06",16
"dev1","2003-09",82
"dev78","2005-05",3
"dev11","2006-01",20
"dev1","2001-03",41
"dev8","2001-11",9
"dev11","2002-05",49
"dev1","2003-06",29
"dev10","2003-09",30
"dev10","2004-02",17
"dev49","2004-03",12
