"name","month","opened","responses","activities"
"dev78","2010-11",2,4,6
"dev78","2013-04",0,5,5
"dev78","2014-04",3,14,17
"dev78","2014-05",4,13,17
"dev78","2010-05",2,0,2
"dev78","2014-06",12,17,29
"dev78","2010-07",0,5,5
"dev78","2013-03",0,5,5
"dev78","2014-01",0,1,1
"dev10","2003-08",124,0,124
"dev78","2015-06",1,5,6
"dev10","2003-06",79,2,81
"dev10","2005-08",11,3,14
"dev78","2013-11",0,8,8
"dev78","2014-12",1,3,4
"dev78","2015-09",0,4,4
"dev78","2013-05",0,11,11
"dev78","2015-01",1,3,4
"dev78","2013-12",0,5,5
"dev78","2014-07",0,4,4
"dev48","2003-04",1,30,31
"dev78","2014-08",0,1,1
"dev78","2015-05",0,2,2
"dev78","2013-07",0,2,2
"dev78","2010-06",0,1,1
"dev78","2014-11",0,2,2
"dev78","2015-02",1,1,2
"dev78","2011-06",0,2,2
"dev10","2003-07",160,1,161
"dev10","2003-09",36,84,120
"dev78","2010-12",0,3,3
"dev78","2015-04",0,4,4
"dev10","2006-03",4,0,4
"dev78","2013-09",0,3,3
"dev78","2013-02",0,3,3
"dev10","2013-12",5,7,12
"dev10","2006-09",7,58,65
"dev10","2003-12",16,75,91
"dev10","2006-02",1,0,1
"dev78","2010-10",0,3,3
"dev78","2014-02",0,2,2
"dev10","2004-02",12,74,86
"dev8","2001-05",1,0,1
"dev10","2006-01",2,6,8
"dev8","2002-01",2,1,3
"dev72","2002-04",28,0,28
"dev48","2002-02",44,0,44
"dev10","2014-01",0,6,6
"dev10","2013-04",0,4,4
"dev10","2014-05",6,22,28
"dev10","2013-03",6,15,21
"dev10","2013-01",1,14,15
"dev10","2014-03",1,14,15
"dev10","2013-05",6,19,25
"dev10","2014-04",6,22,28
"dev72","2002-06",7,2,9
"dev10","2006-11",12,31,43
"dev10","2014-12",1,10,11
"dev10","2014-06",1,7,8
"dev10","2007-02",2,24,26
"dev10","2005-03",9,17,26
"dev10","2004-07",19,18,37
"dev10","2005-04",19,14,33
"dev10","2005-05",22,18,40
"dev10","2004-09",5,8,13
"dev10","2006-12",6,39,45
"dev1","2012-02",4,29,33
"dev10","2013-11",2,5,7
"dev1","2012-04",4,18,22
"dev9","2008-07",0,11,11
"dev10","2005-11",11,23,34
"dev10","2005-01",11,11,22
"dev9","2008-10",2,9,11
"dev10","2005-10",5,14,19
"dev1","2004-11",5,33,38
"dev10","2006-08",9,68,77
"dev1","2009-04",0,11,11
"dev1","2001-01",31,0,31
"dev8","2001-01",1,0,1
"dev34","2001-01",50,0,50
"dev1","2001-02",19,0,19
"dev34","2001-02",56,0,56
"dev1","2001-03",113,0,113
