"name","month","dnoc","bugfixes"
"dev69","2000-01",9,1
"dev70","2000-01",0,1
"dev69","2000-02",21,6
"dev70","2000-02",4,1
"dev69","2000-03",9,2
"dev70","2000-03",1,0
"dev69","2000-04",10,1
"dev69","2000-05",4,1
"dev69","2000-06",9,1
"dev8","2000-06",15,6
"dev1","2000-06",8,4
"dev69","2000-07",4,1
"dev8","2000-07",38,6
"dev1","2000-07",78,9
"dev1","2000-08",48,9
"dev8","2000-08",27,4
"dev1","2000-09",72,16
"dev8","2000-09",11,1
"dev1","2000-10",47,9
"dev8","2000-10",20,3
"dev1","2000-11",54,8
"dev1","2000-12",21,2
"dev1","2001-01",23,7
"dev8","2000-11",16,4
"dev71","2000-11",34,4
"dev34","2000-11",18,1
"dev34","2000-12",36,6
"dev8","2000-12",5,1
"dev71","2000-12",7,0
"dev69","2000-12",1,0
"dev8","2001-01",31,11
"dev69","2001-01",5,1
"dev71","2001-01",24,8
"dev34","2001-01",32,7
"dev72","2001-01",0,1
"dev73","2001-01",4,0
"dev1","2001-02",13,3
"dev8","2001-02",78,14
"dev73","2001-02",11,8
"dev34","2001-02",45,1
"dev71","2001-02",5,1
"dev69","2001-02",3,0
"dev8","2001-03",11,6
"dev1","2001-03",103,8
"dev69","2001-03",4,1
"dev73","2001-03",3,4
"dev71","2001-03",1,3
"dev34","2001-03",7,0
"dev1","2001-04",38,1
"dev34","2001-04",11,0
"dev73","2001-04",6,2
"dev71","2001-04",2,1
"dev8","2001-04",3,0
"dev72","2001-04",2,0
"dev8","2001-05",17,2
"dev73","2001-05",5,0
"dev1","2001-05",29,4
"dev72","2001-05",4,0
"dev69","2001-05",0,1
"dev34","2001-05",24,1
"dev34","2001-06",129,4
"dev1","2001-06",34,4
"dev69","2001-06",1,0
"dev8","2001-06",7,0
"dev8","2001-07",54,10
"dev1","2001-07",58,12
"dev73","2001-07",1,0
"dev34","2001-07",13,0
"dev74","2001-07",5,2
"dev1","2001-08",62,2
"dev74","2001-08",33,8
"dev8","2001-08",90,16
"dev70","2001-08",1,2
"dev69","2001-08",1,0
"dev73","2001-08",2,2
"dev34","2001-08",22,0
"dev8","2001-09",8,6
"dev74","2001-09",0,1
"dev1","2001-09",19,5
"dev11","2001-09",3,1
"dev34","2001-09",26,10
"dev8","2001-10",14,6
"dev73","2001-09",1,1
"dev34","2001-10",18,4
"dev1","2001-10",34,3
"dev72","2001-10",1,2
"dev11","2001-10",11,1
"dev69","2001-10",1,1
"dev74","2001-10",1,3
"dev74","2001-11",19,14
"dev1","2001-11",78,7
"dev34","2001-11",25,3
"dev8","2001-11",8,1
"dev11","2001-11",22,8
"dev72","2001-11",1,2
"dev75","2001-11",16,2
"dev69","2001-11",4,0
"dev74","2001-12",19,13
"dev34","2001-12",278,11
"dev75","2001-12",23,4
"dev11","2001-12",23,2
"dev1","2001-12",37,8
"dev8","2001-12",3,0
"dev72","2001-12",1,0
"dev69","2001-12",0,1
"dev48","2001-12",5,2
"dev34","2002-01",281,16
"dev8","2002-01",9,2
"dev11","2002-01",9,1
"dev48","2002-01",22,4
"dev74","2002-01",75,48
"dev1","2002-01",52,4
"dev75","2002-01",9,3
"dev73","2002-01",1,0
"dev76","2002-01",1,0
"dev74","2002-02",41,26
"dev76","2002-02",51,13
"dev11","2002-02",28,1
"dev48","2002-02",22,6
"dev75","2002-02",55,6
"dev34","2002-02",187,7
"dev8","2002-02",34,6
"dev1","2002-02",65,10
"dev72","2002-02",10,3
"dev70","2002-02",2,0
"dev75","2002-03",32,3
"dev76","2002-03",44,19
"dev1","2002-03",34,6
"dev34","2002-03",208,10
"dev48","2002-03",22,7
"dev70","2002-03",9,1
"dev11","2002-03",17,0
"dev72","2002-03",28,7
"dev8","2002-03",25,10
"dev74","2002-03",2,0
"dev34","2002-04",93,6
"dev48","2002-04",19,11
"dev72","2002-04",22,5
"dev11","2002-04",38,4
"dev1","2002-04",136,22
"dev8","2002-04",75,10
"dev76","2002-04",17,3
"dev75","2002-04",25,1
"dev74","2002-04",3,3
"dev8","2002-05",16,4
"dev75","2002-05",15,8
"dev1","2002-05",66,8
"dev70","2002-05",4,4
"dev11","2002-05",16,10
"dev72","2002-05",8,1
"dev48","2002-05",8,13
"dev75","2002-06",5,1
"dev11","2002-06",53,10
"dev1","2002-06",42,8
"dev8","2002-06",21,5
"dev74","2002-06",20,3
"dev48","2002-07",7,2
"dev75","2002-07",15,2
"dev34","2002-05",7,0
"dev34","2002-06",1,0
"dev48","2002-06",36,12
"dev72","2002-06",5,0
"dev1","2002-07",41,13
"dev11","2002-07",2,0
"dev72","2002-07",2,1
"dev74","2002-07",11,2
"dev34","2002-07",12,0
"dev1","2002-08",14,3
"dev11","2002-08",4,3
"dev74","2002-08",21,5
"dev75","2002-08",1,1
"dev70","2002-08",9,4
"dev48","2002-08",1,7
"dev1","2002-09",72,17
"dev48","2002-09",4,2
"dev75","2002-09",4,0
"dev1","2002-10",50,5
"dev75","2002-10",2,0
"dev74","2002-10",3,1
"dev74","2002-11",2,7
"dev1","2002-11",57,28
"dev1","2002-12",38,7
"dev75","2002-12",2,1
"dev1","2003-01",69,28
"dev75","2003-01",3,0
"dev8","2003-01",58,12
"dev8","2003-02",99,14
"dev1","2003-02",91,22
"dev11","2003-02",1,0
"dev75","2003-02",3,0
"dev1","2003-03",97,29
"dev8","2003-03",10,1
"dev75","2003-03",3,0
"dev1","2003-04",77,18
"dev8","2003-04",23,4
"dev1","2003-07",65,20
"dev1","2003-08",49,8
"dev8","2002-07",1,0
"dev70","2002-07",14,4
"dev34","2002-08",2,0
"dev8","2002-08",1,1
"dev11","2002-09",12,3
"dev70","2002-09",0,1
"dev70","2002-10",14,5
"dev11","2002-10",7,2
"dev34","2002-10",2,0
"dev11","2002-11",4,1
"dev75","2002-11",3,1
"dev70","2002-11",2,1
"dev11","2002-12",6,2
"dev74","2002-12",1,0
"dev70","2002-12",52,13
"dev8","2002-12",12,2
"dev48","2002-12",3,2
"dev48","2003-01",15,0
"dev70","2003-01",2,1
"dev11","2003-01",10,0
"dev48","2003-02",8,1
"dev48","2003-03",1,2
"dev11","2003-03",11,5
"dev69","2003-04",1,0
"dev70","2003-04",0,1
"dev11","2003-04",1,0
"dev75","2003-04",12,2
"dev10","2003-04",15,7
"dev48","2003-04",1,1
"dev1","2003-05",50,12
"dev70","2003-05",4,2
"dev8","2003-05",2,1
"dev10","2003-05",22,1
"dev11","2003-05",1,0
"dev77","2003-05",1,2
"dev48","2003-05",0,1
"dev10","2003-06",19,13
"dev75","2003-06",5,2
"dev77","2003-06",7,4
"dev8","2003-06",12,1
"dev11","2003-06",4,2
"dev1","2003-06",19,3
"dev48","2003-06",2,1
"dev8","2003-07",52,5
"dev77","2003-07",37,9
"dev10","2003-07",59,9
"dev11","2003-07",1,0
"dev11","2003-08",7,2
"dev77","2003-08",30,4
"dev10","2003-08",42,7
"dev8","2003-08",6,2
"dev48","2003-08",1,0
"dev1","2003-09",80,9
"dev10","2003-09",35,4
"dev77","2003-09",27,3
"dev78","2003-09",36,0
"dev8","2003-09",19,3
"dev11","2003-09",16,5
"dev48","2003-09",1,2
"dev1","2003-10",98,6
"dev1","2003-11",41,1
"dev1","2004-01",34,2
"dev10","2003-10",24,10
"dev8","2003-10",6,0
"dev11","2003-10",5,2
"dev77","2003-10",33,5
"dev75","2003-10",3,1
"dev77","2003-11",50,2
"dev11","2003-11",2,0
"dev10","2003-11",12,2
"dev78","2003-11",9,0
"dev8","2003-11",2,0
"dev77","2003-12",50,9
"dev78","2003-12",10,0
"dev10","2003-12",36,7
"dev1","2003-12",7,0
"dev8","2003-12",4,0
"dev11","2003-12",2,0
"dev77","2004-01",58,11
"dev10","2004-01",14,0
"dev78","2004-01",9,2
"dev1","2004-02",30,1
"dev8","2004-02",12,0
"dev77","2004-02",42,5
"dev10","2004-02",60,5
"dev78","2004-02",9,0
"dev78","2004-03",6,0
"dev1","2004-03",16,0
"dev77","2004-03",40,6
"dev77","2004-04",15,0
"dev1","2004-04",65,4
"dev78","2004-04",11,1
"dev9","2004-04",44,11
"dev9","2004-05",4,1
"dev77","2004-05",32,3
"dev78","2004-05",9,0
"dev1","2004-05",9,8
"dev1","2004-06",61,9
"dev10","2004-06",8,3
"dev77","2004-06",28,1
"dev9","2004-06",40,2
"dev78","2004-06",5,0
"dev1","2004-07",20,1
"dev10","2004-07",26,4
"dev9","2004-07",7,0
"dev78","2004-07",8,0
"dev9","2004-08",13,2
"dev8","2004-08",5,0
"dev10","2004-08",8,2
"dev77","2004-08",7,1
"dev78","2004-09",7,0
"dev9","2004-09",10,1
"dev77","2004-09",42,5
"dev10","2004-09",2,0
"dev1","2004-09",19,6
"dev77","2004-10",18,2
"dev1","2004-10",23,6
"dev9","2004-10",4,1
"dev1","2004-11",46,7
"dev9","2004-11",10,0
"dev77","2004-11",12,0
"dev77","2004-12",74,0
"dev9","2004-12",38,2
"dev1","2004-12",28,2
"dev79","2004-12",12,2
"dev49","2004-12",10,4
"dev10","2004-12",3,0
"dev1","2005-01",43,2
"dev79","2005-01",4,1
"dev77","2005-01",122,3
"dev9","2005-01",88,2
"dev49","2005-01",12,0
"dev9","2005-02",69,2
"dev1","2005-02",58,10
"dev77","2005-02",9,0
"dev49","2005-02",4,1
"dev77","2005-03",91,4
"dev9","2005-03",48,10
"dev49","2005-03",27,0
"dev78","2005-03",6,0
"dev1","2005-03",97,7
"dev10","2005-03",4,2
"dev79","2005-03",17,5
"dev1","2005-04",26,4
"dev9","2005-04",16,2
"dev10","2005-04",8,0
"dev49","2005-04",9,1
"dev77","2005-04",8,0
"dev1","2005-05",32,2
"dev9","2005-05",58,5
"dev77","2005-05",16,3
"dev10","2005-05",10,1
"dev78","2005-05",4,0
"dev10","2005-06",6,1
"dev48","2003-10",0,1
"dev78","2003-10",2,0
"dev11","2004-01",4,0
"dev48","2004-01",1,0
"dev74","2004-02",2,0
"dev48","2004-02",3,0
"dev9","2004-02",11,2
"dev11","2004-02",3,1
"dev9","2004-03",16,1
"dev11","2004-03",3,1
"dev70","2004-03",1,0
"dev11","2004-04",9,1
"dev75","2004-06",3,0
"dev77","2004-07",3,0
"dev11","2004-07",1,1
"dev74","2004-07",1,0
"dev78","2004-08",6,0
"dev1","2004-08",9,1
"dev11","2004-08",16,2
"dev8","2004-09",3,0
"dev11","2004-09",2,0
"dev11","2004-10",17,4
"dev79","2004-10",1,0
"dev11","2004-11",16,2
"dev74","2004-11",2,4
"dev79","2004-11",1,0
"dev11","2004-12",3,0
"dev74","2004-12",0,1
"dev8","2004-12",1,0
"dev11","2005-01",18,1
"dev78","2005-01",1,0
"dev74","2005-01",1,0
"dev11","2005-02",21,4
"dev11","2005-03",25,8
"dev11","2005-04",11,2
"dev79","2005-04",5,0
"dev11","2005-05",23,1
"dev49","2005-05",8,0
"dev1","2005-06",10,1
"dev78","2005-06",7,1
"dev49","2005-06",12,0
"dev11","2005-06",5,0
"dev9","2005-06",3,1
"dev79","2005-06",1,0
"dev77","2005-06",7,0
"dev1","2005-07",6,1
"dev11","2005-07",8,1
"dev77","2005-07",4,0
"dev9","2005-07",3,1
"dev49","2005-07",6,0
"dev78","2005-07",3,0
"dev78","2005-08",8,0
"dev9","2005-08",27,3
"dev74","2005-08",1,1
"dev77","2005-08",1,0
"dev11","2005-08",18,5
"dev1","2005-08",3,0
"dev1","2005-09",17,2
"dev10","2005-09",4,0
"dev11","2005-09",6,0
"dev9","2005-09",24,4
"dev49","2005-09",3,0
"dev49","2005-10",6,1
"dev78","2005-10",11,3
"dev1","2005-10",15,5
"dev9","2005-10",12,2
"dev11","2005-10",0,1
"dev10","2005-10",10,0
"dev74","2005-10",1,2
"dev77","2005-10",1,0
