"commentAuthor","month","nocomm"
"dev14","2012-03",36
"dev81","2012-08",9
"dev13","2012-09",43
"dev51","2013-05",46
"dev13","2013-10",36
"dev13","2014-07",60
"dev51","2014-07",12
"dev81","2014-07",2
"dev81","2014-08",1
"dev12","2014-08",12
"dev51","2013-11",4
"dev13","2013-11",84
"dev13","2014-04",62
"dev12","2014-07",46
"dev51","2014-08",2
"dev13","2014-08",21
"dev51","2013-03",62
"dev13","2014-06",13
"dev51","2014-06",13
"dev13","2013-04",32
"dev12","2013-05",37
"dev12","2014-02",55
"dev51","2013-01",62
"dev51","2013-02",34
"dev51","2013-07",7
"dev51","2013-09",3
"dev12","2014-06",23
"dev12","2014-05",54
"dev12","2013-04",25
"dev51","2014-05",7
"dev81","2014-06",3
"dev14","2012-05",27
"dev53","2014-06",6
"dev12","2014-04",52
"dev51","2014-03",20
"dev51","2012-06",6
"dev51","2012-09",11
"dev12","2012-12",31
"dev13","2013-05",125
"dev51","2014-04",22
"dev13","2014-05",5
"dev12","2014-03",38
"dev12","2011-06",53
"dev14","2011-08",15
"dev13","2014-01",13
"dev51","2014-02",10
"dev13","2014-03",21
"dev12","2013-06",34
"dev12","2013-10",23
"dev12","2014-01",30
"dev12","2013-09",63
"dev81","2014-03",9
"dev81","2009-09",4
"dev12","2009-11",2
"dev12","2011-04",23
"dev13","2013-12",29
"dev51","2012-08",28
"dev13","2013-09",141
"dev51","2013-08",8
"dev12","2013-11",52
"dev13","2014-02",34
"dev53","2013-11",7
"dev12","2013-12",30
"dev51","2012-12",9
"dev51","2013-12",10
"dev81","2013-12",3
"dev81","2013-11",14
"dev13","2012-11",98
"dev13","2013-03",27
"dev12","2012-11",24
"dev12","2013-07",10
"dev13","2013-07",41
"dev13","2013-08",57
"dev12","2013-08",32
"dev35","2011-02",24
"dev51","2011-12",3
"dev53","2012-01",21
"dev53","2012-02",28
"dev12","2012-10",19
"dev51","2012-10",24
"dev13","2013-02",32
"dev12","2013-03",11
"dev81","2013-10",9
"dev13","2013-06",19
"dev51","2013-06",12
"dev51","2013-04",35
"dev83","2011-10",13
"dev51","2010-12",10
"dev81","2011-06",8
"dev12","2011-05",27
"dev12","2011-10",40
"dev12","2010-07",9
"dev81","2010-12",4
"dev35","2011-01",7
"dev12","2011-02",33
"dev35","2011-07",3
"dev12","2010-04",6
"dev12","2010-05",36
"dev35","2011-03",36
"dev35","2010-12",17
"dev14","2011-09",44
"dev51","2011-09",12
"dev51","2012-04",24
"dev12","2010-06",58
"dev52","2012-01",9
"dev12","2011-09",40
"dev12","2013-02",32
"dev53","2013-06",12
"dev12","2012-08",35
"dev52","2011-10",21
"dev51","2011-01",20
"dev12","2012-03",14
"dev53","2012-05",12
"dev53","2013-05",2
"dev53","2013-01",6
"dev81","2013-05",3
"dev81","2010-08",70
"dev12","2013-01",33
"dev12","2012-05",44
"dev12","2010-11",25
"dev81","2011-02",26
"dev51","2011-07",2
"dev52","2011-09",9
"dev13","2012-10",63
"dev82","2011-07",26
"dev81","2011-07",5
"dev12","2011-08",63
"dev82","2011-08",44
"dev81","2011-08",4
"dev35","2012-07",1
"dev81","2012-06",7
"dev84","2011-08",16
"dev12","2010-10",26
"dev81","2010-07",38
"dev52","2010-07",9
"dev52","2011-06",6
"dev81","2013-04",2
"dev52","2010-06",5
"dev12","2012-02",25
"dev81","2011-03",19
"dev12","2011-03",38
"dev53","2011-09",10
"dev82","2012-01",5
"dev12","2010-09",12
"dev12","2011-11",57
"dev13","2013-01",52
"dev51","2011-10",4
"dev51","2012-11",12
"dev13","2012-12",41
"dev84","2012-03",8
"dev13","2012-07",56
"dev14","2011-12",9
"dev14","2012-01",47
"dev52","2011-12",10
"dev83","2011-12",1
"dev83","2011-11",18
"dev14","2011-11",78
"dev81","2011-11",20
"dev35","2012-03",4
"dev51","2012-01",7
"dev82","2011-06",3
"dev12","2011-07",23
"dev51","2010-11",4
"dev82","2010-09",3
"dev81","2010-10",22
"dev12","2011-12",39
"dev53","2011-12",23
"dev53","2012-03",5
"dev12","2012-04",17
"dev13","2012-04",13
"dev13","2011-03",2
"dev13","2011-05",18
"dev52","2011-07",7
"dev83","2012-12",1
"dev12","2012-09",29
"dev51","2010-01",4
"dev51","2010-05",17
"dev35","2010-08",56
"dev35","2010-10",33
"dev51","2011-03",4
"dev51","2011-04",18
"dev51","2011-06",7
"dev83","2012-08",1
"dev53","2012-10",6
"dev13","2012-01",3
"dev14","2011-04",36
"dev51","2011-11",8
"dev81","2010-11",3
"dev12","2011-01",14
"dev83","2011-06",30
"dev83","2012-07",3
"dev12","2010-03",14
"dev82","2010-04",38
"dev82","2011-10",82
"dev51","2011-05",21
"dev51","2011-08",2
"dev52","2011-01",10
"dev53","2011-08",2
"dev12","2012-06",12
"dev14","2012-07",1
"dev51","2012-07",6
"dev53","2012-07",9
"dev13","2012-08",26
"dev12","2010-08",13
"dev12","2012-07",5
"dev14","2012-02",36
"dev13","2012-05",13
"dev81","2012-05",7
"dev52","2012-05",5
"dev13","2011-12",2
"dev12","2012-01",26
"dev83","2012-01",6
"dev51","2012-05",4
"dev83","2012-04",16
"dev52","2011-05",5
"dev83","2011-03",15
"dev83","2011-05",28
"dev83","2012-02",6
"dev53","2011-05",4
"dev83","2012-03",3
"dev81","2012-03",10
"dev82","2011-09",53
"dev84","2010-09",21
"dev82","2012-02",4
"dev81","2012-02",2
"dev52","2010-10",3
"dev52","2012-02",2
"dev51","2010-08",7
"dev81","2010-09",44
"dev52","2010-11",6
"dev12","2010-12",13
"dev82","2011-12",13
"dev52","2011-03",3
"dev53","2011-11",9
"dev82","2011-11",31
"dev14","2012-12",1
"dev81","2012-11",1
"dev53","2014-03",6
"dev84","2012-08",3
"dev14","2012-06",3
"dev84","2011-01",7
"dev53","2011-10",4
"dev84","2011-09",2
"dev14","2011-03",33
"dev84","2011-07",31
"dev14","2011-06",19
"dev84","2011-06",3
"dev14","2011-05",29
"dev84","2011-04",18
"dev84","2011-03",1
"dev84","2010-08",47
"dev82","2010-08",24
"dev53","2013-03",13
"dev53","2012-04",7
"dev53","2014-08",1
"dev13","2012-06",12
"dev82","2011-05",1
"dev81","2014-05",3
"dev53","2014-05",4
"dev53","2014-04",3
