"name","month","opened","responses","activities"
"dev12","2009-06",1,1,2
"dev51","2009-06",2,3,5
"dev12","2009-07",1,0,1
"dev12","2009-08",1,1,2
"dev51","2009-08",0,1,1
"dev12","2009-09",1,3,4
"dev51","2009-09",0,4,4
"dev51","2009-10",3,8,11
"dev12","2009-10",2,6,8
"dev81","2009-10",3,4,7
"dev52","2009-10",1,0,1
"dev12","2009-11",2,6,8
"dev51","2009-11",4,5,9
"dev81","2009-11",0,1,1
"dev81","2009-12",1,0,1
"dev12","2009-12",10,13,23
"dev51","2009-12",3,10,13
"dev12","2010-01",3,24,27
"dev51","2010-01",2,15,17
"dev81","2010-01",0,1,1
"dev12","2010-02",2,12,14
"dev51","2010-02",1,5,6
"dev81","2010-02",1,2,3
"dev52","2010-02",2,0,2
"dev12","2010-03",1,10,11
"dev51","2010-03",0,11,11
"dev83","2010-03",3,18,21
"dev81","2010-03",2,1,3
"dev52","2010-03",2,0,2
"dev52","2010-04",1,1,2
"dev51","2010-04",6,7,13
"dev83","2010-04",0,1,1
"dev35","2010-04",2,0,2
"dev12","2010-04",9,3,12
"dev81","2010-04",2,2,4
"dev82","2010-04",4,3,7
"dev52","2010-05",1,0,1
"dev12","2010-05",11,17,28
"dev51","2010-05",2,10,12
"dev35","2010-05",2,1,3
"dev81","2010-05",2,2,4
"dev83","2010-05",3,4,7
"dev82","2010-05",0,3,3
"dev13","2010-05",0,1,1
"dev12","2010-06",5,18,23
"dev51","2010-06",1,4,5
"dev52","2010-06",2,0,2
"dev84","2010-07",1,0,1
"dev12","2010-07",0,2,2
"dev51","2010-07",1,0,1
"dev83","2010-07",2,0,2
"dev81","2010-07",1,0,1
"dev52","2010-07",1,2,3
"dev81","2010-08",5,10,15
"dev35","2010-08",2,0,2
"dev84","2010-08",5,3,8
"dev12","2010-08",3,12,15
"dev51","2010-08",2,9,11
"dev52","2010-08",1,1,2
"dev82","2010-08",1,2,3
"dev83","2010-08",1,5,6
"dev84","2010-09",3,1,4
"dev51","2010-09",3,1,4
"dev12","2010-09",5,11,16
"dev83","2010-09",2,2,4
"dev81","2010-09",1,1,2
"dev35","2010-09",1,0,1
"dev82","2010-09",1,1,2
"dev83","2010-10",0,2,2
"dev12","2010-10",1,12,13
"dev52","2010-10",3,2,5
"dev51","2010-10",0,2,2
"dev51","2010-11",4,6,10
"dev12","2010-11",0,5,5
"dev35","2010-11",1,1,2
"dev83","2010-11",1,0,1
"dev83","2010-12",1,3,4
"dev81","2010-12",0,2,2
"dev52","2010-12",1,3,4
"dev12","2010-12",7,11,18
"dev84","2010-12",1,0,1
"dev82","2010-12",0,1,1
"dev51","2011-01",1,6,7
"dev12","2011-01",5,6,11
"dev52","2011-01",2,2,4
"dev81","2011-01",1,0,1
"dev84","2011-01",1,0,1
"dev83","2011-01",0,2,2
"dev35","2011-01",1,3,4
"dev13","2011-02",1,1,2
"dev51","2011-02",0,4,4
"dev12","2011-02",7,20,27
"dev35","2011-02",0,5,5
"dev82","2011-02",0,1,1
"dev81","2011-02",0,4,4
"dev83","2011-02",2,8,10
"dev52","2011-02",1,3,4
"dev12","2011-03",1,21,22
"dev83","2011-03",2,4,6
"dev52","2011-03",1,1,2
"dev35","2011-03",1,3,4
"dev51","2011-03",1,0,1
"dev13","2011-03",1,1,2
"dev14","2011-04",2,1,3
"dev35","2011-04",1,0,1
"dev82","2011-04",0,1,1
"dev12","2011-04",2,7,9
"dev81","2011-04",1,1,2
"dev83","2011-04",1,2,3
"dev51","2011-04",0,1,1
"dev84","2011-04",1,0,1
"dev12","2011-05",3,14,17
"dev81","2011-05",1,1,2
"dev84","2011-05",0,1,1
"dev83","2011-05",2,0,2
"dev35","2011-05",1,1,2
"dev51","2011-05",1,0,1
"dev82","2011-05",1,0,1
"dev14","2011-05",1,2,3
"dev13","2011-05",2,3,5
"dev52","2011-05",0,1,1
"dev12","2011-06",7,16,23
"dev81","2011-06",0,5,5
"dev51","2011-06",2,1,3
"dev52","2011-06",1,0,1
"dev14","2011-06",1,2,3
"dev13","2011-06",1,0,1
"dev12","2011-07",2,14,16
"dev14","2011-07",1,1,2
"dev52","2011-07",2,0,2
"dev84","2011-07",1,4,5
"dev51","2011-07",1,0,1
"dev82","2011-07",1,0,1
"dev83","2011-07",1,0,1
"dev35","2011-08",0,2,2
"dev12","2011-08",5,10,15
"dev81","2011-08",1,0,1
"dev14","2011-08",1,0,1
"dev51","2011-08",0,1,1
"dev83","2011-08",0,2,2
"dev12","2011-09",3,11,14
"dev51","2011-09",0,2,2
"dev14","2011-09",0,3,3
"dev52","2011-09",2,0,2
"dev82","2011-09",0,1,1
"dev83","2011-10",0,2,2
"dev12","2011-10",2,9,11
"dev82","2011-10",2,1,3
"dev51","2011-11",2,1,3
"dev12","2011-11",3,6,9
"dev82","2011-11",1,1,2
"dev81","2011-11",1,2,3
"dev52","2011-11",1,0,1
"dev14","2011-11",0,1,1
"dev83","2011-11",0,1,1
"dev51","2011-12",0,8,8
"dev13","2011-12",0,4,4
"dev12","2011-12",5,18,23
"dev14","2011-12",1,3,4
"dev53","2011-12",1,4,5
"dev81","2011-12",0,1,1
"dev12","2012-01",3,9,12
"dev13","2012-01",1,1,2
"dev83","2012-01",1,1,2
"dev14","2012-01",1,0,1
"dev53","2012-01",0,1,1
"dev12","2012-02",3,8,11
"dev14","2012-02",0,3,3
"dev53","2012-02",2,1,3
"dev51","2012-02",0,1,1
"dev12","2012-03",6,4,10
"dev53","2012-03",1,1,2
"dev35","2012-03",0,1,1
"dev51","2012-03",3,2,5
"dev14","2012-03",3,2,5
"dev81","2012-03",3,0,3
"dev83","2012-03",3,0,3
"dev84","2012-03",3,0,3
"dev12","2012-04",7,11,18
"dev51","2012-04",2,0,2
"dev81","2012-04",0,1,1
"dev13","2012-04",1,1,2
"dev51","2012-05",0,6,6
"dev12","2012-05",6,14,20
"dev83","2012-05",1,0,1
"dev52","2012-05",0,1,1
"dev13","2012-05",0,1,1
"dev51","2012-06",0,2,2
"dev12","2012-06",6,6,12
"dev14","2012-06",1,1,2
"dev13","2012-06",0,3,3
"dev81","2012-06",0,2,2
"dev12","2012-07",0,4,4
"dev51","2012-07",1,0,1
"dev13","2012-07",1,2,3
"dev12","2012-08",2,3,5
"dev12","2012-09",4,11,15
"dev51","2012-09",1,1,2
"dev83","2012-09",0,1,1
"dev13","2012-09",0,1,1
"dev35","2012-09",0,1,1
"dev14","2012-09",0,1,1
"dev12","2012-10",0,2,2
"dev53","2012-10",0,1,1
"dev12","2012-11",1,8,9
"dev53","2012-11",1,3,4
"dev51","2012-11",1,2,3
"dev13","2012-12",0,5,5
"dev53","2012-12",1,4,5
"dev12","2012-12",3,10,13
"dev51","2012-12",3,9,12
"dev51","2013-01",0,2,2
"dev53","2013-01",1,1,2
"dev12","2013-01",1,0,1
"dev12","2013-02",8,6,14
"dev13","2013-02",1,0,1
"dev12","2013-03",4,6,10
"dev14","2013-03",0,1,1
"dev51","2013-03",1,3,4
"dev53","2013-03",0,7,7
"dev13","2013-03",0,2,2
"dev51","2013-04",1,0,1
"dev12","2013-04",0,4,4
"dev13","2013-04",0,2,2
"dev53","2013-04",1,0,1
"dev53","2013-05",0,3,3
"dev12","2013-05",6,8,14
"dev13","2013-05",0,1,1
"dev12","2013-06",2,11,13
"dev51","2013-06",1,3,4
"dev53","2013-06",1,2,3
"dev13","2013-06",1,3,4
"dev81","2013-06",0,2,2
"dev51","2013-07",0,1,1
"dev12","2013-07",3,1,4
"dev13","2013-07",0,6,6
"dev12","2013-08",6,2,8
"dev13","2013-08",1,2,3
"dev51","2013-08",1,0,1
"dev12","2013-09",7,8,15
"dev13","2013-09",0,2,2
"dev12","2013-10",1,9,10
"dev51","2013-10",1,0,1
"dev13","2013-10",0,1,1
"dev51","2013-11",0,2,2
"dev53","2013-11",0,1,1
"dev12","2013-11",2,3,5
"dev12","2013-12",4,11,15
"dev13","2013-12",0,4,4
"dev51","2013-12",1,4,5
"dev81","2013-12",0,3,3
"dev12","2014-01",2,0,2
"dev51","2014-02",1,4,5
"dev12","2014-02",4,3,7
"dev53","2014-02",0,1,1
"dev52","2014-02",0,1,1
"dev12","2014-03",4,2,6
"dev81","2014-03",0,1,1
"dev51","2014-03",1,1,2
"dev12","2014-04",2,6,8
"dev13","2014-04",0,1,1
"dev81","2014-04",0,2,2
"dev12","2014-05",3,4,7
"dev12","2014-06",4,4,8
"dev51","2014-06",0,1,1
"dev51","2014-07",0,1,1
"dev12","2014-07",1,1,2
"dev12","2014-08",0,9,9
"dev13","2014-08",1,2,3
"dev51","2014-08",0,2,2
"dev12","2014-09",5,11,16
"dev12","2014-10",2,14,16
"dev52","2014-10",0,1,1
"dev13","2014-10",0,2,2
"dev35","2014-10",0,1,1
"dev12","2014-11",4,9,13
"dev12","2014-12",4,5,9
"dev12","2015-01",5,9,14
"dev13","2015-01",0,1,1
"dev12","2015-02",3,8,11
"dev12","2015-03",1,10,11
"dev12","2015-04",1,4,5
"dev12","2015-05",1,1,2
"dev12","2015-06",3,6,9
"dev12","2015-08",0,6,6
"dev12","2015-09",3,1,4
"dev12","2015-10",3,0,3
"dev12","2015-11",5,2,7
"dev12","2015-12",0,2,2
