"name","month","dnoc","bugfixes"
"dev81","2009-10",1,1
"dev82","2009-10",0,1
"dev12","2009-11",2,0
"dev81","2009-12",1,0
"dev51","2009-12",1,0
"dev12","2009-12",1,0
"dev12","2010-01",5,2
"dev51","2010-01",3,1
"dev51","2010-02",1,0
"dev81","2010-01",1,0
"dev81","2010-02",1,2
"dev12","2010-02",1,4
"dev52","2010-02",0,1
"dev52","2010-03",2,1
"dev81","2010-03",1,0
"dev35","2010-03",6,2
"dev12","2010-03",1,2
"dev52","2010-04",4,7
"dev35","2010-04",18,3
"dev83","2010-04",1,0
"dev51","2010-04",5,0
"dev81","2010-04",4,5
"dev12","2010-04",2,1
"dev82","2010-04",9,4
"dev52","2010-05",11,2
"dev82","2010-05",5,5
"dev51","2010-05",3,2
"dev35","2010-05",21,10
"dev12","2010-05",12,4
"dev81","2010-05",4,4
"dev83","2010-05",1,1
"dev35","2010-06",17,14
"dev81","2010-06",2,0
"dev52","2010-06",2,3
"dev12","2010-06",13,2
"dev82","2010-06",1,0
"dev51","2010-06",8,4
"dev83","2010-06",6,2
"dev84","2010-06",0,1
"dev84","2010-07",9,6
"dev12","2010-07",2,1
"dev35","2010-07",19,9
"dev51","2010-07",2,1
"dev52","2010-07",2,0
"dev81","2010-07",4,3
"dev13","2010-07",1,0
"dev35","2010-08",30,8
"dev52","2010-08",8,8
"dev12","2010-08",3,2
"dev84","2010-08",6,6
"dev81","2010-08",11,11
"dev83","2010-08",17,10
"dev51","2010-08",11,3
"dev82","2010-08",4,0
"dev52","2010-09",7,14
"dev35","2010-09",10,7
"dev81","2010-09",6,5
"dev12","2010-09",21,4
"dev84","2010-09",7,1
"dev83","2010-09",11,2
"dev51","2010-09",2,1
"dev81","2010-10",3,2
"dev83","2010-10",2,0
"dev35","2010-10",22,5
"dev12","2010-10",4,2
"dev52","2010-10",6,0
"dev35","2010-11",16,6
"dev52","2010-11",6,2
"dev13","2010-11",1,0
"dev12","2010-11",0,1
"dev51","2010-11",1,0
"dev83","2010-11",2,0
"dev82","2010-11",2,3
"dev81","2010-11",1,0
"dev35","2010-12",6,7
"dev81","2010-12",1,1
"dev52","2010-12",13,3
"dev12","2010-12",25,9
"dev83","2010-12",5,2
"dev51","2010-12",1,1
"dev51","2011-01",10,9
"dev35","2011-01",19,4
"dev52","2011-01",8,6
"dev12","2011-01",4,5
"dev84","2011-01",3,0
"dev83","2011-01",11,11
"dev12","2011-02",13,6
"dev35","2011-02",34,5
"dev51","2011-02",2,2
"dev52","2011-02",4,10
"dev83","2011-02",13,10
"dev53","2011-02",1,0
"dev13","2011-02",1,0
"dev81","2011-02",4,2
"dev12","2011-03",11,6
"dev81","2011-03",1,5
"dev52","2011-03",11,6
"dev83","2011-03",10,5
"dev35","2011-03",27,10
"dev13","2011-03",2,1
"dev14","2011-03",5,1
"dev52","2011-04",2,0
"dev14","2011-04",28,0
"dev51","2011-04",3,1
"dev35","2011-04",6,0
"dev83","2011-04",5,5
"dev81","2011-04",5,2
"dev13","2011-04",1,0
"dev12","2011-04",8,0
"dev84","2011-04",2,0
"dev12","2011-05",16,8
"dev81","2011-05",2,2
"dev84","2011-05",2,0
"dev14","2011-05",32,1
"dev83","2011-05",14,2
"dev51","2011-05",3,0
"dev13","2011-05",2,10
"dev52","2011-05",5,0
"dev35","2011-05",4,0
"dev83","2011-06",3,2
"dev12","2011-06",15,5
"dev52","2011-06",6,3
"dev35","2011-06",1,0
"dev13","2011-06",2,2
"dev14","2011-06",6,1
"dev51","2011-06",2,1
"dev12","2011-07",8,4
"dev81","2011-07",2,1
"dev83","2011-07",12,4
"dev52","2011-07",1,7
"dev82","2011-07",1,2
"dev14","2011-07",14,1
"dev84","2011-07",16,5
"dev13","2011-07",1,0
"dev84","2011-08",7,5
"dev52","2011-08",2,1
"dev14","2011-08",23,2
"dev12","2011-08",8,4
"dev13","2011-08",1,5
"dev83","2011-08",4,3
"dev82","2011-08",4,1
"dev81","2011-08",1,1
"dev51","2011-08",2,0
"dev53","2011-09",2,1
"dev12","2011-09",19,3
"dev14","2011-09",15,3
"dev52","2011-09",10,0
"dev83","2011-09",3,1
"dev51","2011-09",1,1
"dev84","2011-09",2,0
"dev81","2011-09",2,1
"dev82","2011-09",2,0
"dev14","2011-10",8,0
"dev12","2011-10",5,4
"dev82","2011-10",8,0
"dev52","2011-10",6,4
"dev83","2011-10",1,1
"dev81","2011-10",0,2
"dev14","2011-11",58,3
"dev82","2011-11",3,0
"dev83","2011-11",10,5
"dev53","2011-11",1,1
"dev12","2011-11",15,2
"dev51","2011-11",0,1
"dev81","2011-11",1,1
"dev52","2011-11",3,1
"dev35","2011-11",2,0
"dev14","2011-12",6,0
"dev83","2011-12",3,0
"dev52","2011-12",5,0
"dev53","2011-12",1,2
"dev51","2011-12",4,0
"dev13","2011-12",3,0
"dev12","2011-12",11,5
"dev81","2011-12",0,1
"dev51","2012-01",9,2
"dev14","2012-01",29,1
"dev53","2012-01",3,1
"dev52","2012-01",3,0
"dev12","2012-01",4,2
"dev13","2012-01",6,0
"dev35","2012-01",2,0
"dev83","2012-01",6,3
"dev81","2012-01",9,2
"dev14","2012-02",27,0
"dev12","2012-02",11,3
"dev53","2012-02",3,6
"dev52","2012-02",5,0
"dev51","2012-02",1,0
"dev35","2012-02",1,0
"dev83","2012-02",0,3
"dev52","2012-03",5,2
"dev53","2012-03",0,4
"dev81","2012-03",0,1
"dev14","2012-03",24,0
"dev13","2012-03",2,0
"dev51","2012-03",1,1
"dev83","2012-03",2,2
"dev35","2012-03",3,0
"dev12","2012-03",2,0
"dev83","2012-04",2,2
"dev14","2012-04",1,0
"dev52","2012-04",3,1
"dev53","2012-04",1,1
"dev13","2012-04",0,3
"dev12","2012-04",3,0
"dev51","2012-04",3,2
"dev35","2012-04",3,0
"dev14","2012-05",33,3
"dev12","2012-05",7,3
"dev52","2012-05",0,1
"dev81","2012-05",1,2
"dev83","2012-05",3,0
"dev13","2012-05",3,1
"dev35","2012-05",1,2
"dev53","2012-05",0,1
"dev51","2012-05",1,0
"dev12","2012-06",12,2
"dev13","2012-06",2,2
"dev14","2012-06",7,1
"dev81","2012-06",1,0
"dev51","2012-06",9,1
"dev35","2012-06",6,0
"dev83","2012-06",1,1
"dev35","2012-07",1,0
"dev52","2012-07",1,0
"dev51","2012-07",1,0
"dev53","2012-07",1,0
"dev13","2012-07",10,0
"dev13","2012-08",11,4
"dev51","2012-08",6,0
"dev53","2012-08",1,1
"dev81","2012-08",1,0
"dev12","2012-08",2,2
"dev51","2012-09",4,0
"dev13","2012-09",13,6
"dev83","2012-09",1,0
"dev12","2012-09",4,1
"dev81","2012-09",0,1
"dev13","2012-10",9,5
"dev12","2012-10",2,1
"dev83","2012-10",1,0
"dev51","2012-10",1,0
"dev53","2012-11",1,0
"dev13","2012-11",21,11
"dev12","2012-11",0,2
"dev81","2012-11",1,0
"dev51","2012-11",4,0
"dev52","2012-11",1,0
"dev13","2012-12",17,9
"dev12","2012-12",8,0
"dev51","2012-12",7,0
"dev51","2013-01",10,4
"dev12","2013-01",6,2
"dev13","2013-01",14,7
"dev53","2013-01",3,1
"dev13","2013-02",7,4
"dev81","2013-02",2,0
"dev12","2013-02",15,1
"dev51","2013-02",0,2
"dev83","2013-02",0,1
"dev53","2013-02",2,0
"dev51","2013-03",6,0
"dev53","2013-03",4,1
"dev13","2013-03",3,4
"dev12","2013-03",6,0
"dev51","2013-04",12,2
"dev12","2013-04",2,1
"dev13","2013-04",5,7
"dev53","2013-04",7,0
"dev12","2013-05",9,2
"dev53","2013-05",1,0
"dev51","2013-05",6,1
"dev13","2013-05",6,5
"dev13","2013-06",0,1
"dev12","2013-06",10,1
"dev12","2013-07",4,0
"dev13","2013-07",7,5
"dev53","2013-07",1,0
"dev13","2013-08",20,17
"dev12","2013-08",12,2
"dev53","2013-08",1,0
"dev53","2013-09",1,0
"dev13","2013-09",14,7
"dev12","2013-09",19,0
