"commentAuthor","month","nocomm"
"dev39","2012-05",36
"dev2","2013-04",8
"dev39","2012-09",44
"dev39","2012-10",30
"dev15","2002-08",37
"dev15","2003-02",34
"dev2","2004-12",56
"dev2","2006-08",16
"dev2","2010-04",25
"dev39","2011-09",123
"dev2","2012-06",14
"dev39","2011-11",32
"dev2","2014-02",76
"dev2","2009-03",69
"dev39","2011-07",177
"dev39","2013-01",12
"dev2","2013-11",7
"dev2","2013-07",1
"dev2","2014-01",20
"dev2","2004-09",16
"dev2","2005-01",92
"dev2","2005-02",78
"dev38","2007-01",29
"dev38","2007-02",74
"dev38","2008-01",170
"dev38","2008-02",50
"dev38","2008-03",118
"dev2","2013-08",12
"dev2","2009-04",25
"dev38","2009-04",40
"dev2","2009-11",5
"dev2","2010-01",20
"dev2","2010-02",13
"dev2","2011-03",83
"dev2","2011-07",54
"dev39","2011-10",118
"dev39","2011-12",22
"dev2","2012-09",8
"dev2","2013-06",2
"dev2","2013-03",7
"dev15","2006-03",2
"dev2","2012-12",5
"dev38","2008-06",93
"dev39","2012-12",11
"dev39","2012-11",18
"dev2","2010-06",54
"dev39","2012-06",33
"dev39","2012-02",94
"dev39","2012-04",76
"dev38","2009-02",52
"dev39","2011-08",301
"dev2","2012-02",11
"dev2","2009-10",40
"dev2","2013-12",4
"dev2","2013-02",11
"dev40","2005-01",16
"dev38","2008-05",73
"dev38","2007-03",7
"dev38","2008-08",34
"dev15","2004-09",16
"dev38","2006-10",18
"dev37","2006-10",2
"dev38","2008-09",85
"dev2","2014-05",6
"dev40","2002-08",17
"dev85","2004-05",13
"dev2","2013-10",9
"dev38","2010-07",6
"dev2","2012-01",12
"dev2","2012-03",6
"dev37","2012-06",1
"dev39","2012-08",23
"dev38","2008-10",33
"dev38","2008-11",16
"dev38","2009-06",44
"dev39","2012-03",41
"dev39","2013-02",9
"dev39","2012-07",15
"dev38","2009-05",22
"dev38","2007-12",78
"dev2","2012-08",17
"dev2","2012-07",19
"dev38","2009-12",13
"dev2","2014-07",1
"dev2","2011-10",9
"dev39","2012-01",55
"dev2","2009-01",5
"dev38","2009-07",16
"dev2","2014-03",13
"dev2","2011-09",11
"dev2","2014-04",12
"dev38","2007-08",21
"dev38","2007-09",31
"dev38","2007-11",21
"dev2","2009-02",48
"dev38","2009-08",13
"dev38","2010-08",3
"dev38","2009-03",25
"dev39","2013-03",7
"dev39","2013-04",2
"dev39","2013-07",2
"dev2","2010-10",10
"dev2","2013-09",10
"dev38","2006-08",82
"dev38","2011-05",2
"dev38","2009-10",5
"dev38","2010-10",5
"dev2","2010-09",16
"dev38","2007-07",68
"dev38","2007-06",52
"dev2","2013-05",7
"dev15","2003-12",16
