"name","month","opened","responses","activities"
"dev40","2002-10",1,3,4
"dev2","2006-08",2,16,18
"dev38","2008-03",0,128,128
"dev38","2008-04",0,57,57
"dev38","2008-05",1,73,74
"dev38","2008-06",2,94,96
"dev38","2008-07",0,112,112
"dev2","2008-08",4,26,30
"dev2","2011-03",6,98,104
"dev38","2006-09",0,18,18
"dev38","2006-10",0,20,20
"dev38","2006-11",0,21,21
"dev38","2006-12",1,38,39
"dev38","2007-01",0,33,33
"dev38","2007-02",0,75,75
"dev38","2007-03",1,7,8
"dev38","2007-04",0,15,15
"dev38","2007-05",0,42,42
"dev38","2007-06",0,50,50
"dev38","2007-07",0,64,64
"dev38","2007-08",0,34,34
"dev38","2007-09",0,33,33
"dev38","2007-10",0,9,9
"dev38","2007-11",0,25,25
"dev38","2007-12",0,77,77
"dev38","2008-02",0,56,56
"dev38","2008-08",0,35,35
"dev38","2008-09",0,85,85
"dev38","2008-10",0,35,35
"dev38","2008-12",0,25,25
"dev38","2009-01",0,40,40
"dev38","2009-02",0,61,61
"dev38","2009-03",0,41,41
"dev38","2009-04",0,55,55
"dev38","2009-05",0,36,36
"dev38","2009-06",0,58,58
"dev38","2009-07",0,33,33
"dev38","2009-09",0,19,19
"dev38","2009-10",0,9,9
"dev38","2009-11",0,13,13
"dev38","2010-02",0,9,9
"dev38","2010-03",0,10,10
"dev15","2002-02",17,15,32
"dev15","2002-03",6,25,31
"dev91","2014-09",0,3,3
"dev2","2012-07",2,25,27
"dev40","2002-02",2,14,16
"dev85","2002-02",0,33,33
"dev40","2002-03",5,14,19
"dev85","2002-03",0,44,44
"dev15","2002-04",13,18,31
"dev40","2002-04",1,15,16
"dev85","2002-04",1,53,54
"dev40","2002-05",0,7,7
"dev15","2002-05",2,10,12
"dev40","2002-06",4,6,10
"dev15","2002-06",0,9,9
"dev40","2002-07",0,22,22
"dev15","2002-07",2,12,14
"dev15","2002-08",4,13,17
"dev40","2002-08",4,9,13
"dev40","2002-09",0,5,5
"dev15","2002-09",5,1,6
"dev85","2002-09",7,5,12
"dev86","2002-09",1,0,1
"dev85","2002-10",7,0,7
"dev15","2002-10",33,3,36
"dev88","2002-10",8,0,8
"dev37","2002-10",0,2,2
"dev15","2002-11",54,2,56
"dev40","2002-11",5,6,11
"dev85","2002-11",6,0,6
"dev15","2002-12",12,3,15
"dev85","2002-12",2,0,2
"dev40","2002-12",0,1,1
"dev15","2003-01",22,2,24
"dev85","2003-01",4,0,4
"dev40","2003-01",2,4,6
"dev40","2003-02",7,4,11
"dev15","2003-02",38,2,40
"dev85","2003-02",2,0,2
"dev15","2003-03",44,4,48
"dev40","2003-03",6,3,9
"dev85","2003-03",1,0,1
"dev15","2003-04",37,8,45
"dev85","2003-04",5,0,5
"dev40","2003-04",7,4,11
"dev40","2003-05",7,5,12
"dev15","2003-05",16,4,20
"dev85","2003-05",5,0,5
"dev40","2003-06",5,4,9
"dev15","2003-06",11,2,13
"dev85","2003-06",3,0,3
"dev15","2003-07",10,0,10
"dev85","2003-07",3,0,3
"dev40","2003-07",3,0,3
"dev15","2003-08",9,1,10
"dev40","2003-08",4,0,4
"dev85","2003-08",4,0,4
"dev85","2003-09",5,0,5
"dev40","2003-09",6,2,8
"dev15","2003-09",4,1,5
"dev85","2003-10",8,0,8
"dev40","2003-10",1,4,5
"dev15","2003-10",18,1,19
"dev15","2003-11",10,1,11
"dev85","2003-11",6,0,6
"dev86","2003-11",2,0,2
"dev40","2003-11",2,2,4
"dev85","2003-12",9,0,9
"dev40","2003-12",2,0,2
"dev15","2003-12",17,1,18
"dev15","2004-01",18,0,18
"dev85","2004-01",14,0,14
"dev40","2004-01",10,3,13
"dev2","2004-02",19,0,19
"dev85","2004-02",5,0,5
"dev40","2004-02",11,1,12
"dev15","2004-02",28,3,31
"dev40","2004-03",8,2,10
"dev85","2004-03",11,0,11
