"name","month","dnoc","bugfixes"
"dev37","1998-10",19,3
"dev37","1998-11",25,8
"dev37","1998-12",11,2
"dev37","1999-01",4,5
"dev37","1999-02",15,2
"dev37","1999-03",13,6
"dev37","1999-04",2,1
"dev37","1999-07",1,0
"dev37","1999-08",2,0
"dev37","1999-12",1,0
"dev37","2000-01",48,9
"dev37","2000-02",12,0
"dev37","2000-03",1,0
"dev37","2000-06",1,0
"dev37","2000-07",2,1
"dev37","2000-08",1,1
"dev37","2000-09",20,10
"dev85","1998-10",0,2
"dev85","1998-11",2,2
"dev85","1998-12",8,0
"dev85","1999-01",12,2
"dev85","1999-02",1,1
"dev85","1999-03",11,1
"dev85","1999-04",7,2
"dev85","1999-05",6,1
"dev85","1999-06",4,2
"dev85","1999-07",2,0
"dev85","1999-08",4,1
"dev85","1999-09",2,0
"dev85","1999-11",2,0
"dev85","1999-12",1,0
"dev85","2000-01",2,0
"dev85","2000-02",8,1
"dev85","2000-05",2,3
"dev85","2000-06",2,1
"dev85","2000-09",2,1
"dev85","2000-10",7,5
"dev85","2000-11",1,2
"dev85","2001-02",4,0
"dev85","2001-03",0,1
"dev85","2001-04",1,0
"dev85","2001-05",1,0
"dev85","2002-01",1,1
"dev85","2002-02",1,0
"dev85","2002-03",3,0
"dev85","2002-05",3,0
"dev85","2002-08",3,0
"dev85","2002-10",2,0
"dev85","2003-05",1,0
"dev85","2003-06",2,0
"dev85","2003-09",2,0
"dev85","2003-11",2,0
"dev85","2004-03",2,0
"dev85","2004-12",0,1
"dev85","2005-01",1,0
"dev85","2005-11",2,1
"dev85","2005-07",1,0
"dev85","2005-10",1,0
"dev85","2006-04",9,1
"dev85","2006-05",22,4
"dev85","2006-07",5,0
"dev85","2006-08",1,1
"dev85","2006-09",2,1
"dev85","2007-02",2,0
"dev85","2007-05",1,1
"dev85","2007-06",2,1
"dev54","1998-12",0,2
"dev54","1999-02",0,2
"dev54","1999-03",2,5
"dev54","1999-05",1,0
"dev54","1999-11",1,0
"dev54","2000-03",1,1
"dev54","2000-04",10,11
"dev54","2000-05",2,2
"dev54","2000-06",0,4
"dev54","2000-07",1,2
"dev54","2000-08",0,1
"dev54","2000-09",0,3
"dev54","2000-10",1,2
"dev54","2000-11",1,1
"dev54","2000-12",5,0
"dev54","2001-01",2,1
"dev54","2001-03",5,2
"dev54","2001-04",1,0
"dev54","2001-05",1,0
"dev54","2001-06",0,1
"dev54","2001-07",0,1
"dev54","2001-10",3,1
"dev54","2002-03",0,1
"dev54","2002-04",1,0
"dev54","2002-06",1,0
"dev54","2002-07",1,0
"dev54","2003-03",1,1
"dev54","2003-08",0,1
"dev54","2004-06",1,0
"dev54","2005-09",2,0
"dev54","2005-12",0,1
"dev54","2006-02",0,1
"dev54","2006-03",1,0
"dev54","2006-04",1,0
"dev54","2006-05",2,0
"dev54","2006-06",1,1
"dev54","2006-09",1,0
"dev54","2006-11",1,0
"dev54","2007-01",1,0
"dev54","2007-02",2,0
"dev54","2007-04",2,0
"dev54","2007-05",1,0
"dev54","2007-06",1,0
"dev54","2007-07",2,0
"dev54","2007-10",4,2
"dev54","2007-11",1,1
"dev54","2008-04",0,1
"dev54","2008-05",1,0
"dev54","2008-08",1,3
"dev54","2009-02",1,1
"dev54","2009-01",1,1
"dev54","2010-10",1,0
"dev54","2010-11",0,2
"dev54","2011-01",1,0
"dev54","2012-05",0,1
"dev54","2012-10",0,2
"dev54","2013-11",1,0
"dev54","2013-12",1,1
"dev54","2014-04",1,0
"dev86","1999-04",1,0
"dev86","1999-08",0,1
"dev86","1999-05",2,0
"dev86","1999-06",1,0
"dev86","1999-07",2,0
"dev86","1999-09",1,0
"dev86","1999-10",0,1
"dev86","2000-07",2,2
"dev86","2000-09",0,1
"dev86","2001-03",1,0
"dev86","2001-09",0,1
"dev86","2001-10",1,0
"dev86","2001-12",1,0
"dev86","2002-01",1,0
"dev86","2002-06",2,0
"dev86","2002-08",1,0
"dev86","2002-12",3,1
"dev86","2003-05",0,1
"dev86","2003-06",0,4
"dev86","2003-07",1,0
"dev86","2003-09",1,0
"dev86","2003-11",0,1
"dev86","2004-11",0,1
"dev86","2004-12",0,1
"dev86","2005-01",0,2
"dev86","2005-07",2,0
"dev86","2005-09",0,1
"dev86","2005-10",0,1
"dev86","2006-04",0,4
"dev86","2006-05",2,4
"dev86","2006-07",5,0
"dev86","2006-08",0,1
"dev86","2006-09",0,1
"dev86","2006-12",1,0
"dev86","2007-02",3,1
"dev86","2007-03",1,0
"dev86","2007-04",1,0
"dev86","2007-05",1,0
"dev86","2007-06",1,3
"dev86","2007-07",1,0
"dev86","2007-10",3,0
"dev86","2007-11",1,0
"dev86","2008-04",1,1
"dev86","2008-05",6,1
"dev86","2006-06",1,0
"dev86","2007-08",1,0
"dev86","2008-07",0,1
"dev86","2011-06",2,0
"dev40","1999-09",1,2
"dev40","2000-01",1,2
"dev40","2000-02",2,0
"dev40","2000-04",3,0
"dev40","2000-05",3,1
"dev40","2000-07",1,1
"dev40","2000-08",0,4
"dev40","2000-09",4,4
"dev40","2000-10",0,3
"dev40","2000-12",2,0
"dev40","2001-01",1,0
"dev40","2001-03",0,2
"dev40","2001-05",0,1
"dev40","2001-07",5,0
"dev40","2001-08",27,12
"dev40","2001-09",9,5
"dev40","2001-10",2,5
"dev40","2001-11",1,6
"dev40","2002-01",8,1
"dev40","2002-02",3,3
"dev40","2002-03",14,5
"dev40","2002-04",2,0
"dev40","2002-05",2,4
"dev40","2002-06",3,0
"dev40","2002-07",8,1
"dev40","2002-08",13,3
"dev40","2002-09",5,1
"dev40","2002-11",3,1
"dev40","2002-12",11,1
"dev40","2003-01",6,0
"dev40","2003-02",9,2
"dev40","2003-03",4,3
"dev40","2003-04",9,0
"dev40","2003-05",2,0
"dev40","2003-06",3,4
"dev40","2003-09",5,3
"dev40","2003-07",1,0
"dev40","2003-10",3,1
"dev40","2003-11",1,0
"dev40","2003-12",1,0
"dev40","2004-01",1,1
"dev40","2004-02",3,6
"dev40","2004-03",10,3
"dev40","2004-04",8,0
"dev40","2004-05",2,0
"dev40","2004-07",5,0
"dev40","2004-08",0,2
"dev40","2004-09",1,2
"dev40","2004-12",2,3
"dev40","2004-10",4,1
"dev40","2004-11",2,1
"dev40","2005-01",2,1
"dev40","2005-02",7,2
"dev87","1999-09",4,0
"dev87","1999-12",0,1
"dev87","2000-02",8,1
"dev87","2000-03",6,2
"dev87","2000-04",2,0
"dev87","2000-06",0,1
"dev87","2000-07",2,2
"dev87","2000-08",0,1
"dev87","2001-01",1,2
"dev88","2000-01",0,1
"dev88","2000-04",2,0
"dev88","2000-05",1,3
"dev88","2000-06",1,0
"dev88","2000-07",1,0
"dev88","2001-02",1,0
"dev88","2001-05",1,0
"dev88","2001-08",0,1
"dev88","2001-09",2,1
"dev88","2001-10",1,0
"dev88","2002-01",1,0
"dev88","2002-02",2,0
"dev88","2002-04",3,2
"dev88","2002-05",2,0
"dev88","2002-06",0,1
"dev88","2002-10",0,1
"dev88","2003-03",1,0
"dev88","2003-06",0,1
"dev88","2006-12",2,0
"dev88","2007-01",1,0
"dev88","2007-04",1,0
"dev67","2000-11",1,0
"dev67","2001-09",2,0
"dev67","2002-09",0,1
"dev67","2002-04",0,1
"dev67","2002-10",1,0
"dev67","2002-11",1,1
"dev67","2003-01",1,3
"dev67","2002-12",0,1
"dev67","2003-02",0,1
"dev67","2003-03",1,0
"dev67","2003-09",1,0
"dev67","2003-10",0,1
"dev67","2004-08",0,1
"dev67","2005-05",0,1
"dev67","2005-09",5,0
"dev67","2005-10",1,1
"dev67","2005-11",7,0
"dev67","2005-12",6,0
"dev67","2006-01",8,1
"dev67","2006-02",5,1
"dev67","2006-03",8,6
"dev67","2006-05",5,1
"dev67","2006-06",2,1
"dev67","2006-07",3,1
"dev67","2006-08",4,0
"dev67","2006-09",6,2
"dev67","2006-10",2,1
"dev67","2006-11",2,1
"dev67","2006-12",5,1
"dev67","2007-01",3,2
"dev67","2007-03",2,1
"dev67","2007-04",4,2
"dev67","2007-05",5,1
"dev67","2007-06",1,1
"dev67","2007-07",3,0
"dev67","2007-08",1,0
"dev67","2007-10",1,0
"dev67","2007-11",2,0
"dev67","2007-12",0,1
"dev67","2008-01",1,0
"dev67","2008-02",0,1
"dev67","2008-04",0,1
"dev67","2008-05",0,1
"dev67","2008-07",1,0
"dev67","2008-08",1,0
"dev67","2010-07",0,3
"dev67","2010-09",1,0
"dev89","2001-02",1,2
"dev89","2001-03",3,0
"dev89","2001-04",8,0
"dev89","2001-05",4,2
"dev89","2001-06",7,4
"dev89","2001-07",5,4
"dev89","2001-08",1,0
"dev90","2001-05",1,0
"dev90","2001-06",1,0
"dev90","2001-09",1,0
"dev90","2001-12",1,0
"dev90","2002-07",2,2
"dev90","2002-12",1,0
"dev90","2003-02",1,0
"dev90","2003-05",1,0
"dev90","2003-08",1,0
"dev90","2003-09",1,0
"dev90","2003-10",1,0
"dev90","2003-12",1,1
"dev90","2004-04",3,1
"dev90","2004-05",0,2
"dev90","2004-09",2,1
"dev90","2007-04",2,0
"dev90","2008-03",3,0
"dev90","2007-05",0,1
"dev15","2001-08",6,7
"dev15","2001-09",26,11
"dev15","2001-10",18,3
"dev15","2001-11",37,8
"dev15","2001-12",8,11
"dev15","2002-02",7,6
"dev15","2002-01",10,3
"dev15","2002-03",17,6
"dev15","2002-04",21,10
"dev15","2002-05",2,3
"dev15","2002-06",5,1
"dev15","2002-07",9,7
"dev15","2002-08",6,6
"dev15","2002-12",3,1
"dev15","2002-09",1,1
"dev15","2002-10",2,0
"dev15","2002-11",1,2
"dev15","2003-01",4,2
"dev15","2003-02",7,7
"dev15","2003-03",8,4
"dev15","2003-04",7,6
"dev15","2003-05",2,2
"dev15","2003-06",7,2
"dev15","2003-07",7,1
"dev15","2003-09",5,0
"dev15","2003-08",2,0
"dev15","2003-10",18,5
"dev15","2003-11",1,1
"dev15","2003-12",2,2
"dev15","2004-01",1,4
