"commentAuthor","month","nocomm"
"dev7","2010-02",12
"dev3","2010-02",3
"dev99","2014-05",1
"dev55","2005-07",22
"dev7","2006-08",42
"dev16","2005-07",39
"dev7","2005-07",30
"dev7","2010-03",30
"dev18","2006-01",1
"dev7","2006-03",16
"dev7","2006-06",1
"dev7","2007-02",37
"dev7","2007-11",11
"dev7","2005-08",23
"dev7","2007-08",114
"dev7","2008-01",11
"dev7","2008-09",10
"dev7","2008-08",62
"dev7","2011-09",4
"dev96","2010-08",1
"dev99","2012-05",8
"dev7","2009-10",32
"dev41","2012-04",1
"dev99","2012-04",4
"dev7","2009-07",2
"dev7","2011-11",1
"dev55","2004-12",128
"dev97","2005-05",8
"dev7","2006-11",6
"dev97","2007-01",58
"dev7","2011-08",2
"dev7","2011-06",1
"dev7","2011-04",1
"dev7","2007-09",15
"dev7","2010-11",4
"dev7","2009-11",13
"dev41","2010-10",1
"dev7","2010-09",3
"dev7","2008-10",17
"dev3","2002-03",11
"dev7","2010-05",3
"dev7","2008-05",9
"dev3","2008-12",1
"dev7","2009-12",1
"dev3","2004-05",19
"dev17","2004-05",9
"dev18","2004-05",5
"dev7","2008-04",2
"dev41","2008-05",4
"dev7","2008-07",9
"dev7","2005-12",26
"dev7","2009-01",28
"dev7","2008-06",7
"dev7","2009-08",6
"dev7","2009-02",3
"dev7","2009-04",3
"dev7","2009-05",4
"dev7","2009-03",1
"dev96","2009-02",2
"dev3","2005-01",5
"dev3","2008-08",1
"dev17","2007-06",1
"dev3","2003-03",4
"dev3","2003-04",7
"dev96","2008-08",1
"dev96","2004-03",6
"dev7","2007-10",15
"dev7","2006-09",28
"dev7","2007-12",3
"dev17","2008-07",15
"dev17","2008-03",6
"dev18","2008-03",2
"dev96","2008-03",2
"dev7","2007-03",10
"dev7","2006-04",11
"dev3","2005-02",5
"dev18","2007-08",26
"dev96","2007-05",2
"dev97","2003-10",1
"dev97","2003-12",5
"dev3","2003-12",4
"dev97","2004-09",4
"dev97","2004-12",3
"dev97","2005-07",3
"dev97","2005-12",5
"dev97","2006-02",3
"dev7","2006-02",5
"dev97","2006-06",2
"dev7","2006-07",4
"dev97","2006-10",3
"dev7","2007-01",31
"dev17","2006-02",9
"dev96","2004-12",3
