"name","month","opened","responses","activities"
"dev99","2013-08",15,90,105
"dev99","2013-05",8,62,70
"dev99","2012-09",10,26,36
"dev99","2013-04",3,26,29
"dev99","2013-07",8,64,72
"dev99","2012-05",4,25,29
"dev99","2013-02",0,8,8
"dev99","2012-11",16,53,69
"dev99","2012-10",23,56,79
"dev99","2013-01",7,34,41
"dev99","2012-12",8,21,29
"dev99","2012-07",5,16,21
"dev99","2012-08",0,5,5
"dev99","2013-03",4,14,18
"dev99","2013-09",12,35,47
"dev3","2002-03",10,61,71
"dev7","2011-08",29,10,39
"dev7","2004-12",21,43,64
"dev7","2010-06",25,6,31
"dev7","2005-03",14,27,41
"dev7","2007-08",97,37,134
"dev7","2005-04",2,26,28
"dev99","2010-04",0,3,3
"dev99","2010-06",0,1,1
"dev7","2007-09",16,17,33
"dev7","2008-06",33,31,64
"dev7","2005-05",49,44,93
"dev99","2011-06",0,1,1
"dev98","2013-10",5,15,20
"dev7","2006-12",6,5,11
"dev7","2006-09",44,14,58
"dev7","2005-08",28,29,57
"dev7","2005-02",29,49,78
"dev7","2010-02",27,19,46
"dev98","2014-01",4,17,21
"dev7","2010-12",9,5,14
"dev3","2004-07",2,0,2
"dev99","2014-09",51,132,183
"dev7","2007-04",96,62,158
"dev7","2010-05",29,42,71
"dev7","2007-06",130,31,161
"dev7","2007-12",5,10,15
"dev99","2014-02",16,56,72
"dev7","2007-07",26,15,41
"dev98","2014-06",1,4,5
"dev3","2004-04",71,31,102
"dev7","2007-01",29,21,50
"dev7","2007-05",33,7,40
"dev7","2008-07",2,6,8
"dev98","2014-02",6,43,49
"dev98","2011-02",0,8,8
"dev98","2014-05",0,4,4
"dev3","2005-04",33,30,63
"dev7","2006-02",4,25,29
"dev99","2014-06",29,69,98
"dev99","2014-03",20,47,67
"dev99","2014-07",29,51,80
"dev99","2014-11",10,13,23
"dev7","2012-10",27,123,150
"dev7","2012-09",25,74,99
"dev7","2012-05",21,6,27
"dev7","2011-10",25,22,47
"dev7","2012-04",16,1,17
"dev7","2010-10",19,4,23
"dev7","2012-08",10,23,33
"dev7","2012-11",25,138,163
"dev7","2012-12",3,72,75
"dev7","2012-07",34,11,45
"dev96","2003-02",1,20,21
"dev96","2003-11",0,25,25
"dev96","2003-12",0,17,17
"dev97","2003-12",0,2,2
"dev96","2004-01",0,13,13
"dev97","2004-01",0,2,2
"dev97","2004-02",0,1,1
"dev7","2011-09",35,23,58
"dev97","2004-03",0,1,1
"dev96","2004-04",0,9,9
"dev97","2004-04",0,1,1
"dev96","2004-05",1,7,8
"dev96","2004-07",0,5,5
"dev96","2004-09",0,19,19
"dev3","2001-02",4,86,90
"dev97","2004-09",2,7,9
"dev7","2008-05",7,21,28
"dev96","2004-11",8,25,33
"dev97","2004-11",0,1,1
"dev7","2008-03",2,5,7
"dev96","2004-12",3,45,48
"dev97","2004-12",0,2,2
"dev96","2005-01",3,30,33
"dev97","2005-01",4,10,14
"dev96","2005-02",0,9,9
"dev97","2005-02",0,1,1
"dev97","2005-03",0,2,2
"dev96","2005-03",0,26,26
"dev96","2005-04",0,19,19
"dev96","2005-05",0,14,14
"dev7","2010-08",0,1,1
"dev97","2005-05",0,4,4
"dev96","2005-06",0,22,22
"dev96","2005-07",2,10,12
"dev97","2005-07",0,2,2
"dev96","2005-08",0,14,14
"dev97","2005-08",0,1,1
"dev96","2005-09",0,14,14
"dev96","2005-10",0,24,24
"dev97","2005-10",1,1,2
"dev97","2005-11",0,3,3
"dev96","2005-11",0,22,22
"dev97","2005-12",0,3,3
"dev96","2005-12",1,24,25
"dev7","2005-12",39,30,69
"dev96","2006-01",0,16,16
"dev97","2006-01",0,3,3
"dev96","2006-02",4,26,30
"dev97","2006-02",2,3,5
"dev97","2006-06",1,2,3
"dev97","2006-07",0,4,4
"dev96","2006-08",0,15,15
"dev3","2004-10",22,18,40
"dev96","2006-09",0,26,26
"dev96","2006-11",2,7,9
"dev96","2006-12",0,19,19
"dev96","2007-01",0,18,18
"dev96","2007-02",0,15,15
"dev96","2007-03",0,21,21
"dev96","2007-04",0,23,23
"dev7","2006-07",5,10,15
"dev7","2012-01",1,0,1
