"name","month","dnoc","bugfixes"
"dev3","2000-11",1,0
"dev3","2000-12",34,2
"dev3","2001-01",56,13
"dev92","2001-01",5,0
"dev92","2001-02",1,1
"dev3","2001-02",31,6
"dev93","2001-02",9,1
"dev93","2001-03",5,0
"dev3","2001-03",16,1
"dev94","2001-03",1,0
"dev92","2001-03",4,0
"dev92","2001-04",2,0
"dev93","2001-04",14,11
"dev3","2001-04",29,8
"dev94","2001-04",2,0
"dev93","2001-05",10,7
"dev3","2001-05",10,4
"dev94","2001-05",1,1
"dev3","2001-06",28,4
"dev94","2001-06",5,0
"dev93","2001-06",3,2
"dev92","2001-06",2,0
"dev3","2001-07",25,3
"dev94","2001-07",1,0
"dev3","2001-08",28,1
"dev94","2001-08",1,0
"dev3","2001-09",46,8
"dev3","2001-10",14,2
"dev3","2001-11",13,3
"dev3","2001-12",2,0
"dev3","2002-01",14,2
"dev3","2002-02",27,4
"dev3","2002-03",21,0
"dev95","2002-03",4,0
"dev3","2002-04",46,5
"dev95","2002-04",2,3
"dev95","2002-05",4,3
"dev3","2002-05",20,14
"dev16","2002-05",13,0
"dev93","2002-05",0,1
"dev16","2002-06",12,1
"dev3","2002-06",25,3
"dev16","2002-09",3,0
"dev3","2002-10",28,1
"dev3","2002-11",9,0
"dev16","2002-11",4,1
"dev93","2002-11",1,0
"dev3","2002-12",5,0
"dev16","2002-12",26,2
"dev3","2003-01",2,0
"dev16","2003-01",2,0
"dev16","2003-02",14,4
"dev95","2003-02",0,6
"dev3","2003-02",12,5
"dev3","2003-03",15,1
"dev16","2003-03",12,3
"dev95","2003-03",3,4
"dev3","2003-04",7,0
"dev3","2003-05",33,2
"dev3","2003-06",16,4
"dev17","2003-06",32,2
"dev3","2003-07",7,1
"dev18","2003-07",1,5
"dev17","2003-08",10,0
"dev3","2003-08",8,1
"dev18","2003-08",2,1
"dev17","2003-09",118,20
"dev18","2003-09",11,1
"dev3","2003-09",26,8
"dev17","2003-10",21,1
"dev3","2003-10",0,1
"dev18","2003-10",12,1
"dev16","2003-10",2,0
"dev18","2003-11",2,2
"dev17","2003-11",4,0
"dev17","2003-12",116,13
"dev18","2003-12",14,5
"dev3","2003-12",20,0
"dev96","2003-12",1,0
"dev18","2004-01",19,7
"dev17","2004-01",1,1
"dev55","2004-01",1,0
"dev3","2004-01",4,1
"dev18","2004-02",5,0
"dev3","2004-02",2,0
"dev96","2004-02",1,0
"dev55","2004-02",1,0
"dev17","2004-02",1,0
"dev18","2004-03",18,4
"dev3","2004-03",19,1
"dev18","2004-04",9,0
"dev3","2004-04",43,4
"dev17","2004-04",2,0
"dev18","2004-05",16,7
"dev3","2004-05",76,14
"dev17","2004-05",49,7
"dev55","2004-05",1,1
"dev3","2004-06",18,0
"dev18","2004-06",11,1
"dev55","2004-06",2,0
"dev17","2004-06",16,3
"dev18","2004-07",14,6
"dev17","2004-07",2,2
"dev55","2004-07",2,0
"dev18","2004-08",1,1
"dev17","2004-08",2,4
"dev55","2004-08",2,1
"dev3","2004-08",9,1
"dev55","2004-09",7,0
"dev17","2004-09",0,1
"dev3","2004-09",50,2
"dev18","2004-09",2,2
"dev17","2004-10",3,0
"dev3","2004-10",10,3
"dev55","2004-10",1,0
"dev55","2004-11",3,0
"dev3","2004-11",134,8
"dev18","2004-11",5,0
"dev96","2004-11",2,1
"dev96","2004-12",5,1
"dev18","2004-12",18,1
"dev3","2004-12",95,12
"dev55","2004-12",17,2
"dev16","2004-12",3,0
"dev17","2004-12",1,1
"dev7","2004-12",1,9
"dev18","2005-01",6,0
"dev3","2005-01",87,11
"dev96","2005-01",2,0
