"commentAuthor","month","nocomm"
"dev5","2004-02",1
"dev5","2014-08",25
"dev42","2011-10",8
"dev5","2011-10",34
"dev44","2011-05",5
"dev5","2011-05",51
"dev5","2011-02",43
"dev5","2011-01",13
"dev102","2003-08",2
"dev102","2003-09",1
"dev102","2003-10",4
"dev42","2009-10",12
"dev43","2009-10",9
"dev5","2008-12",7
"dev102","2003-07",4
"dev42","2008-12",48
"dev102","2003-12",1
"dev43","2008-12",17
"dev5","2008-06",16
"dev5","2004-04",6
"dev5","2008-03",62
"dev5","2006-09",5
"dev5","2006-06",14
"dev42","2006-06",7
"dev102","2002-09",1
"dev103","2003-03",21
"dev103","2003-04",5
"dev46","2004-08",11
"dev103","2003-01",11
"dev103","2003-02",6
"dev102","2002-03",1
"dev46","2002-04",19
"dev5","2014-02",23
"dev5","2008-04",20
"dev42","2012-11",23
"dev42","2012-07",15
"dev5","2011-12",19
"dev5","2013-03",16
"dev5","2013-11",28
"dev109","2013-11",18
"dev107","2013-11",11
"dev5","2014-06",25
"dev5","2011-06",24
"dev5","2014-04",26
"dev5","2014-07",63
"dev5","2013-12",6
"dev5","2013-07",20
"dev42","2012-12",15
"dev5","2012-12",8
"dev5","2013-06",42
"dev42","2012-10",40
"dev5","2012-09",7
"dev42","2012-03",24
"dev42","2012-01",18
"dev42","2012-02",89
"dev42","2011-12",19
"dev5","2011-11",13
"dev5","2010-06",61
"dev100","2003-10",4
"dev100","2007-06",2
"dev42","2009-08",21
"dev100","2009-02",1
"dev5","2009-01",10
"dev43","2009-01",23
"dev100","2008-03",1
"dev100","2008-04",1
"dev5","2008-02",37
"dev43","2008-02",55
"dev100","2008-02",3
"dev100","2007-10",2
"dev100","2007-11",1
"dev5","2007-01",14
"dev100","2007-01",1
"dev100","2006-05",2
"dev100","2006-02",3
"dev100","2004-08",11
"dev100","2002-11",1
"dev100","2003-06",2
"dev100","2003-09",6
"dev100","2004-06",4
"dev100","2003-11",1
"dev100","2003-12",1
"dev100","2004-02",1
"dev100","2003-07",2
"dev100","2002-07",9
"dev100","2002-05",4
"dev5","2005-11",3
"dev107","2014-07",22
"dev5","2014-05",22
"dev108","2014-05",1
"dev5","2014-03",30
"dev109","2014-02",14
"dev5","2013-04",18
"dev42","2013-01",10
"dev109","2014-01",7
"dev109","2013-12",16
"dev42","2007-01",34
"dev5","2011-09",32
"dev5","2012-04",15
"dev42","2008-11",15
"dev42","2010-01",7
"dev109","2013-10",8
"dev109","2013-09",4
"dev42","2013-11",3
"dev107","2013-08",65
"dev107","2013-10",9
"dev107","2013-09",8
"dev5","2013-05",21
"dev5","2012-11",4
"dev42","2012-05",13
"dev5","2012-02",21
"dev42","2011-11",14
"dev42","2011-09",6
"dev42","2011-07",19
"dev5","2010-10",11
"dev42","2010-07",15
"dev5","2010-07",13
"dev5","2006-11",7
"dev42","2006-11",10
"dev42","2010-05",12
"dev42","2010-04",10
"dev42","2009-06",20
"dev42","2010-02",2
"dev42","2009-12",15
"dev42","2009-11",10
"dev5","2007-03",5
"dev5","2009-05",11
"dev42","2009-09",17
"dev42","2008-04",15
"dev5","2009-08",5
"dev5","2009-07",7
"dev42","2009-07",42
"dev42","2009-01",10
"dev42","2009-02",30
"dev42","2008-06",12
"dev42","2007-05",14
"dev42","2008-10",15
"dev42","2008-09",12
"dev42","2008-08",9
"dev5","2008-08",41
"dev42","2008-07",4
"dev42","2008-05",38
"dev43","2008-04",34
"dev42","2007-09",9
"dev5","2008-01",55
"dev42","2008-01",15
"dev42","2007-12",4
"dev5","2007-12",32
"dev5","2007-09",12
"dev42","2007-08",10
"dev5","2007-08",15
"dev42","2007-06",2
"dev5","2006-02",4
"dev5","2007-05",3
"dev42","2006-07",19
"dev5","2006-07",13
"dev42","2007-04",19
"dev42","2007-03",6
"dev5","2006-12",3
"dev5","2006-10",5
"dev42","2006-10",7
"dev42","2006-08",3
"dev5","2006-08",3
"dev42","2006-09",3
"dev5","2006-04",15
"dev42","2006-04",22
"dev42","2006-03",10
"dev5","2006-03",6
"dev42","2006-05",6
"dev5","2006-05",2
"dev5","2012-10",10
"dev5","2013-10",26
"dev5","2012-08",2
"dev5","2011-07",33
"dev5","2009-10",4
"dev5","2010-08",18
"dev5","2009-11",15
"dev5","2009-12",2
"dev107","2014-08",1
"dev42","2009-05",16
"dev5","2012-01",13
"dev5","2011-03",35
"dev43","2009-02",23
"dev5","2012-07",9
"dev43","2008-08",37
"dev42","2009-04",36
"dev5","2013-01",7
"dev103","2005-04",36
"dev107","2014-04",5
"dev107","2014-05",19
"dev107","2014-03",4
"dev107","2014-06",2
"dev109","2014-05",5
"dev42","2013-10",7
"dev42","2013-12",2
"dev107","2014-02",11
"dev5","2014-01",10
"dev107","2014-01",2
"dev107","2013-12",10
"dev42","2012-06",20
"dev108","2013-11",12
"dev43","2009-05",12
"dev5","2013-08",12
"dev5","2013-09",9
"dev42","2011-08",8
"dev42","2010-11",15
"dev42","2011-02",12
"dev42","2011-06",103
"dev5","2009-04",8
"dev43","2008-11",27
"dev43","2008-06",22
"dev5","2008-07",47
"dev5","2010-01",9
"dev107","2013-05",18
"dev107","2013-06",6
"dev5","2013-02",16
"dev42","2013-03",3
"dev5","2007-11",16
"dev5","2012-06",12
"dev5","2010-05",39
"dev42","2012-04",9
"dev42","2012-09",8
"dev42","2012-08",9
"dev107","2011-08",3
"dev43","2009-06",28
"dev5","2012-05",9
"dev46","2004-06",7
"dev5","2008-11",20
"dev5","2011-08",10
"dev43","2008-10",13
"dev5","2010-11",14
"dev44","2011-07",24
"dev43","2009-12",17
"dev42","2010-08",14
"dev103","2005-07",10
"dev5","2010-09",30
"dev42","2011-05",18
"dev5","2011-04",20
"dev100","2002-12",6
"dev42","2011-03",18
"dev42","2011-04",2
"dev42","2011-01",10
"dev5","2010-12",10
"dev43","2008-05",97
"dev42","2010-12",24
"dev42","2010-09",14
"dev42","2010-10",12
"dev5","2010-04",9
"dev43","2008-09",18
"dev43","2010-06",2
"dev43","2009-04",14
"dev42","2010-03",6
"dev43","2010-05",3
"dev5","2010-03",6
"dev43","2010-03",2
"dev5","2009-02",5
"dev5","2010-02",2
"dev43","2009-11",15
"dev42","2009-03",13
"dev43","2009-09",4
"dev43","2009-08",4
"dev43","2009-03",17
"dev5","2009-03",15
"dev43","2009-07",3
"dev46","2002-07",20
"dev5","2008-09",25
"dev103","2005-05",52
"dev103","2003-10",60
"dev43","2008-03",29
"dev5","2008-05",25
"dev46","2004-10",6
"dev5","2008-10",10
"dev103","2002-12",33
"dev5","2007-10",3
"dev42","2008-03",11
"dev43","2008-07",10
"dev103","2002-06",27
"dev103","2004-02",3
"dev103","2004-11",9
"dev103","2006-01",1
"dev103","2007-01",25
"dev103","2003-07",26
"dev103","2003-08",9
"dev103","2004-04",4
"dev103","2004-07",9
"dev42","2008-02",6
"dev43","2008-01",2
"dev42","2007-11",16
"dev42","2007-07",1
"dev5","2007-07",3
"dev42","2007-10",2
"dev5","2007-06",2
"dev46","2004-09",15
"dev42","2006-12",10
"dev42","2007-02",1
"dev103","2005-06",4
"dev46","2004-11",1
"dev103","2004-01",9
"dev46","2002-03",20
"dev103","2006-07",2
"dev103","2005-01",6
"dev46","2004-07",1
"dev100","2004-03",2
"dev103","2003-09",8
"dev103","2005-11",1
"dev103","2005-03",1
"dev103","2004-09",1
"dev103","2003-11",11
"dev100","2003-02",3
"dev103","2003-05",9
"dev103","2002-05",12
"dev46","2002-05",9
"dev46","2002-06",8
"dev46","2002-08",1
"dev46","2004-04",1
"dev46","2002-09",3
"dev103","2003-12",2
"dev103","2004-08",3
"dev46","2003-02",1
"dev103","2003-06",2
"dev46","2003-09",2
"dev46","2003-10",1
"dev103","2002-04",7
"dev101","2002-09",1
"dev44","2012-11",17
"dev44","2011-10",12
"dev44","2013-04",1
"dev44","2012-09",6
"dev44","2011-08",8
"dev44","2011-09",6
"dev44","2011-06",24
"dev43","2010-01",4
"dev100","2005-01",1
"dev101","2002-06",1
"dev108","2014-07",4
"dev42","2014-05",1
"dev109","2014-03",7
"dev108","2013-05",3
"dev108","2014-01",1
"dev42","2013-06",12
"dev108","2013-06",44
"dev108","2013-10",9
"dev108","2013-08",6
"dev107","2013-07",8
"dev107","2012-10",1
"dev42","2005-07",9
"dev5","2005-07",5
"dev100","2008-05",1
"dev5","2007-04",2
"dev42","2006-01",4
"dev5","2006-01",2
"dev42","2005-11",4
"dev5","2005-08",3
"dev5","2005-09",2
"dev5","2005-10",3
"dev42","2005-08",5
"dev5","2005-06",10
"dev5","2005-02",3
"dev5","2005-04",5
"dev5","2005-05",15
"dev46","2005-05",2
"dev104","2003-07",3
"dev104","2003-04",2
"dev104","2003-05",2
"dev101","2002-04",8
"dev101","2002-03",3
"dev109","2014-08",3
"dev5","2012-03",2
"dev109","2014-04",4
"dev102","2004-04",2
"dev100","2003-01",1
"dev109","2014-07",1
"dev107","2011-05",1
"dev107","2013-04",3
