"name","month","opened","responses","activities"
"dev42","2007-03",1,15,16
"dev42","2006-05",0,3,3
"dev42","2008-05",2,21,23
"dev100","2003-02",7,6,13
"dev103","2002-12",8,10,18
"dev42","2006-07",1,12,13
"dev42","2008-02",1,12,13
"dev103","2003-01",7,15,22
"dev103","2003-02",1,21,22
"dev103","2003-03",9,15,24
"dev103","2003-04",2,10,12
"dev103","2003-05",16,25,41
"dev103","2003-06",8,12,20
"dev103","2003-07",32,28,60
"dev103","2003-08",19,15,34
"dev103","2003-09",9,22,31
"dev103","2003-10",65,20,85
"dev103","2003-11",8,44,52
"dev103","2003-12",4,17,21
"dev103","2004-01",20,31,51
"dev103","2004-02",1,11,12
"dev103","2004-03",0,25,25
"dev100","2004-03",0,1,1
"dev103","2004-04",0,4,4
"dev103","2004-06",1,5,6
"dev103","2004-07",2,20,22
"dev100","2004-07",0,13,13
"dev103","2004-08",1,14,15
"dev100","2004-08",0,9,9
"dev100","2004-09",0,2,2
"dev103","2004-09",1,4,5
"dev103","2004-12",0,8,8
"dev42","2008-04",2,16,18
"dev100","2004-12",2,7,9
"dev100","2005-01",3,10,13
"dev103","2005-01",0,10,10
"dev103","2005-02",13,11,24
"dev100","2005-03",0,6,6
"dev103","2005-04",21,16,37
"dev100","2005-04",1,13,14
"dev103","2005-05",59,18,77
"dev100","2005-05",1,3,4
"dev103","2005-06",6,16,22
"dev100","2005-06",0,9,9
"dev103","2005-07",2,8,10
"dev100","2005-07",0,7,7
"dev103","2005-08",0,1,1
"dev100","2005-08",0,8,8
"dev100","2005-09",0,1,1
"dev100","2005-11",0,2,2
"dev42","2007-09",0,17,17
"dev42","2007-07",0,8,8
"dev45","2007-05",0,17,17
"dev45","2007-06",1,9,10
"dev42","2007-11",1,9,10
"dev42","2007-06",1,9,10
"dev42","2006-11",0,8,8
"dev42","2006-12",0,12,12
"dev45","2005-08",0,8,8
"dev45","2005-05",0,4,4
"dev100","2003-03",3,5,8
"dev45","2004-12",0,3,3
"dev45","2005-01",0,1,1
"dev42","2007-05",1,11,12
"dev109","2014-02",1,11,12
"dev45","2005-03",0,1,1
"dev109","2014-03",0,5,5
"dev109","2014-05",0,7,7
"dev42","2008-01",4,10,14
"dev100","2003-08",7,6,13
"dev42","2007-04",0,8,8
"dev42","2006-03",0,2,2
"dev100","2003-07",14,6,20
"dev42","2007-02",1,11,12
"dev42","2007-01",1,18,19
"dev100","2003-09",1,3,4
"dev42","2007-12",1,4,5
"dev108","2013-02",1,0,1
"dev100","2002-12",1,7,8
"dev101","2002-12",32,5,37
"dev101","2003-01",7,5,12
"dev100","2003-01",0,1,1
"dev100","2003-04",1,1,2
"dev104","2003-04",2,0,2
"dev100","2003-05",2,5,7
"dev104","2003-05",0,3,3
"dev104","2003-06",22,17,39
"dev100","2003-06",1,4,5
"dev104","2003-07",27,35,62
"dev104","2003-08",16,19,35
"dev104","2003-09",1,3,4
"dev46","2003-09",5,12,17
"dev104","2003-10",22,4,26
"dev100","2003-10",0,3,3
"dev100","2003-11",0,6,6
"dev104","2003-11",1,0,1
"dev100","2003-12",2,1,3
"dev100","2004-01",3,8,11
"dev100","2004-02",0,2,2
"dev103","2005-03",0,4,4
"dev103","2005-12",0,1,1
"dev103","2006-01",0,1,1
"dev103","2006-03",0,2,2
"dev103","2006-04",0,1,1
"dev103","2006-06",0,6,6
"dev103","2006-08",0,7,7
"dev103","2006-11",0,1,1
"dev103","2006-12",1,4,5
"dev103","2007-01",7,9,16
"dev104","2007-01",0,1,1
"dev103","2007-02",0,1,1
"dev103","2007-03",0,6,6
"dev103","2007-05",0,2,2
"dev103","2007-06",0,1,1
"dev103","2007-12",0,1,1
"dev103","2008-01",0,2,2
"dev103","2008-02",0,1,1
"dev42","2008-03",0,8,8
"dev102","2004-07",2,0,2
"dev102","2005-04",2,0,2
"dev101","2003-02",0,1,1
"dev101","2003-03",1,1,2
"dev101","2003-04",1,0,1
"dev109","2013-11",4,5,9
"dev46","2004-12",0,5,5
"dev46","2005-01",1,10,11
"dev45","2005-02",0,1,1
"dev46","2005-05",0,2,2
"dev46","2005-06",2,1,3
"dev46","2005-07",1,6,7
"dev46","2005-08",0,6,6
"dev46","2005-09",0,2,2
"dev45","2006-04",0,2,2
"dev46","2006-06",0,2,2
"dev100","2006-12",0,7,7
"dev45","2007-01",1,8,9
"dev100","2007-01",0,2,2
"dev45","2007-02",0,7,7
"dev45","2007-03",1,11,12
"dev100","2007-05",0,3,3
"dev100","2007-06",0,3,3
"dev45","2007-07",2,0,2
"dev45","2007-09",1,1,2
"dev100","2007-11",0,2,2
"dev45","2007-12",0,4,4
"dev45","2008-01",0,1,1
"dev100","2008-01",0,1,1
"dev100","2008-03",0,1,1
"dev45","2008-03",1,8,9
"dev45","2008-04",2,43,45
"dev42","2008-06",2,15,17
"dev42","2008-07",1,14,15
"dev42","2008-08",1,23,24
"dev42","2008-09",2,21,23
"dev42","2008-10",5,14,19
"dev42","2008-11",2,27,29
"dev42","2008-12",2,16,18
"dev100","2008-12",0,3,3
"dev42","2009-01",1,16,17
"dev42","2009-02",4,8,12
"dev42","2009-03",0,16,16
"dev42","2009-05",3,3,6
"dev100","2009-05",1,0,1
"dev42","2009-06",3,7,10
"dev100","2009-06",0,1,1
"dev42","2009-07",0,11,11
"dev42","2009-08",2,4,6
"dev42","2009-09",2,10,12
"dev100","2009-10",1,0,1
"dev42","2009-11",1,6,7
"dev100","2009-11",0,3,3
"dev42","2009-12",2,14,16
"dev100","2009-12",0,1,1
"dev42","2010-01",0,5,5
"dev42","2010-04",0,1,1
"dev42","2010-05",0,2,2
"dev42","2010-06",0,10,10
"dev42","2010-07",0,4,4
"dev42","2010-08",0,4,4
"dev42","2010-09",0,5,5
"dev100","2010-09",0,1,1
"dev42","2010-10",6,13,19
"dev42","2010-11",1,9,10
"dev42","2010-12",0,12,12
"dev42","2011-01",0,1,1
"dev42","2011-02",2,11,13
"dev42","2011-03",4,9,13
"dev100","2011-06",0,1,1
"dev5","2012-07",0,22,22
"dev46","2002-12",0,4,4
"dev46","2003-01",1,5,6
"dev46","2003-02",3,18,21
"dev46","2003-03",2,17,19
"dev46","2003-04",7,25,32
"dev46","2003-05",10,20,30
"dev46","2003-06",1,11,12
"dev46","2003-07",8,30,38
"dev46","2003-08",2,6,8
"dev46","2003-10",2,8,10
"dev109","2013-12",5,1,6
"dev109","2014-01",3,6,9
"dev109","2014-04",1,2,3
"dev109","2014-06",1,1,2
"dev109","2014-08",2,11,13
"dev109","2014-10",1,5,6
"dev109","2014-11",4,10,14
"dev109","2014-12",2,4,6
"dev109","2015-01",1,2,3
"dev109","2015-02",3,6,9
"dev109","2015-05",0,3,3
"dev109","2015-07",1,1,2
"dev46","2003-11",7,12,19
"dev46","2003-12",0,6,6
"dev46","2004-01",6,19,25
"dev46","2004-02",2,16,18
"dev46","2004-03",6,5,11
"dev46","2004-04",2,7,9
"dev46","2004-07",0,4,4
"dev46","2004-08",4,11,15
"dev46","2004-09",0,8,8
"dev46","2004-10",0,1,1
"dev46","2004-11",0,1,1
"dev42","2006-06",0,5,5
"dev45","2005-09",0,1,1
"dev43","2008-02",3,4,7
"dev43","2008-03",0,3,3
"dev43","2008-04",0,3,3
"dev43","2008-05",1,1,2
"dev43","2008-07",0,2,2
"dev43","2008-08",0,2,2
"dev43","2008-11",1,5,6
"dev43","2008-12",0,4,4
"dev43","2009-02",0,8,8
"dev43","2009-05",0,3,3
"dev43","2009-06",0,10,10
"dev43","2009-08",0,1,1
"dev43","2009-10",1,9,10
"dev43","2009-12",0,11,11
"dev43","2010-01",0,4,4
"dev42","2011-04",2,4,6
"dev43","2010-07",0,3,3
"dev5","2008-06",0,24,24
"dev5","2008-07",3,69,72
"dev5","2008-08",2,31,33
"dev5","2008-09",5,53,58
"dev5","2008-11",1,11,12
"dev5","2009-01",2,7,9
"dev5","2009-02",0,9,9
"dev5","2009-04",0,18,18
"dev5","2010-02",0,8,8
"dev5","2010-03",0,18,18
"dev5","2010-04",1,16,17
"dev5","2010-05",0,16,16
"dev5","2010-06",4,20,24
"dev5","2010-07",2,12,14
"dev5","2010-08",3,38,41
"dev5","2010-09",2,36,38
"dev5","2010-10",0,21,21
"dev5","2010-11",3,29,32
"dev5","2010-12",0,39,39
"dev5","2011-01",0,36,36
"dev5","2011-02",3,42,45
"dev5","2011-03",1,37,38
"dev5","2009-08",1,6,7
"dev5","2009-10",0,11,11
"dev5","2009-11",0,10,10
"dev5","2009-12",0,4,4
"dev5","2010-01",2,14,16
"dev5","2011-04",0,26,26
"dev5","2011-05",3,38,41
"dev5","2011-06",0,34,34
"dev5","2011-07",1,50,51
"dev5","2011-08",1,49,50
"dev5","2011-09",0,45,45
"dev5","2011-10",1,27,28
"dev5","2011-11",1,28,29
"dev5","2011-12",0,39,39
"dev5","2012-01",0,23,23
"dev5","2012-02",0,17,17
"dev5","2012-04",0,21,21
"dev5","2012-05",0,18,18
"dev5","2012-06",2,7,9
"dev5","2012-08",0,3,3
"dev5","2012-10",0,11,11
"dev5","2012-12",0,18,18
"dev5","2013-01",1,11,12
"dev5","2013-02",1,11,12
"dev5","2013-03",0,13,13
"dev5","2013-04",0,3,3
"dev5","2013-05",1,8,9
"dev5","2013-06",2,17,19
"dev5","2013-07",1,31,32
"dev5","2013-08",0,11,11
"dev5","2013-09",0,11,11
"dev5","2013-10",0,17,17
"dev5","2013-11",0,14,14
"dev5","2014-01",1,15,16
"dev5","2014-02",0,23,23
"dev5","2014-03",1,14,15
"dev5","2014-04",0,7,7
"dev5","2014-05",0,6,6
"dev5","2014-06",0,8,8
"dev5","2014-07",0,12,12
"dev5","2014-08",1,22,23
"dev5","2014-09",0,18,18
"dev5","2014-10",0,17,17
"dev5","2014-11",4,27,31
"dev5","2014-12",1,26,27
"dev5","2015-01",0,7,7
"dev5","2015-02",0,7,7
"dev5","2015-03",0,18,18
"dev5","2015-04",1,7,8
"dev5","2015-05",1,17,18
"dev5","2015-06",0,4,4
"dev5","2015-07",0,7,7
"dev5","2015-08",0,10,10
"dev5","2015-09",0,12,12
"dev5","2015-10",0,2,2
"dev5","2007-11",0,15,15
"dev5","2007-12",2,24,26
"dev5","2008-01",4,43,47
"dev5","2008-02",2,40,42
"dev5","2008-03",6,45,51
"dev5","2008-04",0,52,52
"dev5","2008-05",0,30,30
"dev5","2008-10",1,37,38
"dev5","2008-12",0,17,17
"dev5","2009-05",0,20,20
"dev5","2009-07",2,2,4
"dev42","2011-05",1,7,8
"dev42","2011-06",9,17,26
"dev44","2011-06",1,3,4
"dev45","2004-01",1,9,10
"dev42","2011-12",2,17,19
"dev42","2011-08",5,29,34
"dev42","2014-01",2,4,6
"dev42","2013-06",3,10,13
"dev42","2012-06",2,17,19
"dev42","2012-03",4,31,35
"dev42","2012-04",3,23,26
"dev42","2012-02",1,33,34
"dev42","2012-08",1,16,17
"dev42","2013-02",0,3,3
"dev42","2012-11",2,13,15
"dev42","2012-05",0,27,27
"dev42","2013-11",0,1,1
"dev42","2011-07",1,21,22
"dev42","2013-12",2,8,10
"dev42","2012-09",1,6,7
"dev42","2015-04",0,1,1
"dev42","2012-12",1,17,18
"dev42","2013-03",0,1,1
"dev42","2013-07",1,2,3
"dev42","2011-09",0,9,9
"dev42","2013-01",0,14,14
"dev42","2011-11",1,22,23
"dev42","2012-10",1,24,25
"dev42","2013-05",0,5,5
"dev42","2014-02",2,1,3
"dev42","2013-09",0,2,2
"dev42","2014-12",0,1,1
"dev42","2012-01",0,24,24
"dev42","2011-10",0,13,13
"dev42","2013-10",0,5,5
"dev42","2013-08",0,2,2
"dev107","2015-09",0,20,20
"dev107","2015-04",0,8,8
"dev107","2014-12",1,5,6
"dev107","2015-06",2,14,16
"dev107","2013-08",2,10,12
"dev107","2013-07",0,5,5
"dev107","2015-02",0,6,6
"dev107","2014-03",1,0,1
"dev107","2014-11",3,21,24
"dev107","2013-11",0,3,3
"dev107","2015-07",0,21,21
"dev107","2014-01",0,4,4
"dev107","2015-05",1,17,18
"dev107","2014-08",0,8,8
"dev107","2013-09",0,2,2
"dev107","2014-06",0,3,3
"dev107","2015-08",1,9,10
"dev107","2013-06",2,8,10
"dev107","2015-10",0,6,6
"dev107","2015-01",0,13,13
"dev107","2013-12",0,7,7
"dev107","2014-10",0,9,9
"dev107","2014-02",0,6,6
"dev107","2014-05",1,1,2
"dev107","2014-07",0,3,3
"dev107","2013-10",1,6,7
"dev107","2015-03",0,10,10
"dev44","2011-08",2,18,20
"dev44","2011-10",0,4,4
"dev44","2011-07",0,14,14
"dev44","2013-05",0,1,1
"dev44","2012-02",0,1,1
"dev44","2012-06",0,1,1
"dev102","2008-02",0,3,3
"dev102","2009-10",0,1,1
"dev5","2005-04",1,0,1
"dev5","2005-05",6,3,9
"dev5","2005-07",4,13,17
"dev5","2006-04",0,3,3
"dev5","2006-07",0,43,43
"dev5","2006-12",5,11,16
"dev5","2007-01",1,10,11
"dev5","2007-03",5,2,7
"dev5","2007-05",10,24,34
"dev5","2007-06",5,21,26
"dev5","2007-07",0,7,7
"dev5","2005-06",0,9,9
"dev5","2005-08",1,3,4
