"name","month","dnoc","bugfixes"
"dev45","2002-01",2,0
"dev45","2002-02",14,0
"dev46","2002-02",18,9
"dev45","2002-03",78,10
"dev46","2002-03",37,17
"dev100","2002-03",8,0
"dev101","2002-03",27,2
"dev46","2002-04",32,23
"dev101","2002-04",82,25
"dev45","2002-04",63,15
"dev102","2002-04",16,0
"dev100","2002-04",5,2
"dev45","2002-05",40,11
"dev46","2002-05",7,2
"dev100","2002-05",5,2
"dev103","2002-05",9,4
"dev102","2002-05",5,0
"dev101","2002-05",1,0
"dev46","2002-06",19,6
"dev103","2002-06",11,7
"dev45","2002-06",17,2
"dev101","2002-06",2,0
"dev102","2002-06",8,0
"dev45","2002-07",30,7
"dev103","2002-07",3,1
"dev102","2002-07",13,0
"dev46","2002-07",14,5
"dev101","2002-07",3,0
"dev100","2002-07",5,6
"dev45","2002-08",3,0
"dev103","2002-08",1,0
"dev46","2002-08",2,2
"dev45","2002-09",16,5
"dev46","2002-09",7,2
"dev102","2002-09",5,1
"dev45","2002-10",20,3
"dev46","2002-10",7,0
"dev45","2002-11",14,4
"dev100","2002-11",0,1
"dev101","2002-11",3,0
"dev46","2002-11",7,0
"dev45","2002-12",0,1
"dev100","2002-12",6,3
"dev103","2002-12",5,1
"dev46","2002-12",6,1
"dev101","2002-12",17,3
"dev103","2003-01",4,2
"dev101","2003-01",4,0
"dev100","2003-01",3,2
"dev46","2003-01",1,0
"dev100","2003-02",9,4
"dev45","2003-02",2,0
"dev46","2003-02",3,1
"dev103","2003-02",0,1
"dev103","2003-03",3,6
"dev46","2003-03",2,1
"dev46","2003-04",20,3
"dev103","2003-04",1,0
"dev45","2003-04",6,0
"dev45","2003-05",5,1
"dev46","2003-05",11,3
"dev103","2003-05",9,1
"dev102","2003-05",3,0
"dev102","2003-06",15,3
"dev46","2003-06",6,6
"dev104","2003-06",16,4
"dev45","2003-06",0,2
"dev102","2003-07",18,2
"dev45","2003-07",6,4
"dev46","2003-07",6,3
"dev104","2003-07",18,2
"dev103","2003-07",5,15
"dev100","2003-07",2,6
"dev100","2003-08",18,3
"dev104","2003-08",11,2
"dev45","2003-08",1,0
"dev102","2003-08",2,0
"dev103","2003-08",5,3
"dev46","2003-08",1,0
"dev100","2003-09",18,6
"dev46","2003-09",2,5
"dev45","2003-09",1,0
"dev105","2003-09",2,7
"dev104","2003-09",1,0
"dev103","2003-09",0,2
"dev103","2003-10",13,20
"dev104","2003-10",7,1
"dev105","2003-10",3,7
"dev46","2003-10",2,0
"dev100","2003-10",0,1
"dev103","2003-11",1,2
"dev46","2003-11",1,3
"dev100","2003-11",3,0
"dev105","2003-11",0,2
"dev102","2003-11",7,2
"dev104","2003-11",1,0
"dev45","2003-11",1,0
"dev100","2003-12",5,3
"dev103","2003-12",3,0
"dev103","2004-01",6,6
"dev102","2004-01",0,1
"dev100","2004-01",0,1
"dev46","2004-01",5,0
"dev102","2004-03",16,5
"dev102","2004-04",1,2
"dev46","2004-04",9,2
"dev100","2004-06",6,3
"dev46","2004-06",1,2
"dev46","2004-07",3,0
"dev102","2004-07",4,2
"dev46","2004-08",4,5
"dev100","2004-08",6,5
"dev46","2004-09",1,4
"dev100","2004-09",0,1
"dev105","2004-09",1,1
"dev105","2004-10",0,3
"dev46","2004-10",2,0
"dev45","2004-11",1,0
"dev100","2004-12",6,1
"dev46","2005-01",0,4
"dev100","2005-01",3,3
"dev100","2005-02",2,2
"dev103","2005-02",3,1
"dev100","2005-04",3,2
"dev103","2005-04",7,9
"dev45","2005-04",2,0
"dev46","2005-05",10,3
"dev103","2005-05",16,11
"dev100","2005-05",1,2
"dev45","2005-05",2,0
"dev103","2005-06",4,0
"dev5","2005-06",17,0
"dev46","2005-07",2,0
"dev5","2005-07",9,0
"dev103","2005-07",1,1
"dev100","2005-07",1,0
"dev5","2005-08",9,2
"dev105","2005-08",2,3
"dev105","2005-09",4,1
"dev5","2005-09",7,0
"dev5","2005-11",9,5
"dev105","2006-01",1,5
"dev5","2006-01",5,4
"dev100","2006-02",2,0
"dev5","2006-02",20,1
"dev100","2006-03",1,1
"dev5","2006-03",22,8
"dev5","2006-04",11,10
"dev100","2006-04",1,0
"dev46","2006-04",2,0
"dev100","2006-05",1,1
"dev5","2006-05",4,2
"dev5","2006-06",14,9
"dev5","2006-07",9,4
"dev105","2006-07",1,6
"dev5","2006-08",3,1
"dev105","2006-08",9,6
"dev105","2006-09",0,2
"dev5","2006-09",3,5
"dev5","2006-10",3,1
"dev5","2006-11",4,4
"dev5","2006-12",9,2
"dev100","2006-12",1,0
"dev5","2007-01",7,7
"dev103","2007-01",3,2
"dev100","2007-01",1,1
"dev45","2007-01",1,0
"dev42","2007-01",1,0
"dev42","2007-02",2,0
"dev5","2007-03",5,1
"dev45","2007-03",2,1
"dev42","2007-03",3,2
"dev5","2007-04",7,0
"dev42","2007-04",2,5
"dev5","2007-05",16,1
"dev42","2007-05",7,6
"dev42","2007-06",3,1
"dev5","2007-06",27,7
"dev45","2007-06",1,0
"dev103","2003-06",5,1
"dev46","2004-02",21,1
"dev46","2004-03",1,1
"dev45","2003-01",2,0
"dev45","2003-03",1,0
"dev100","2007-06",3,0
"dev45","2007-07",3,0
"dev42","2007-07",1,0
"dev5","2007-07",4,0
"dev42","2007-08",0,5
"dev5","2007-08",8,4
"dev42","2007-09",2,6
"dev5","2007-09",13,7
"dev42","2007-10",2,0
"dev5","2007-10",9,2
"dev42","2007-11",7,3
"dev5","2007-11",5,2
"dev42","2007-12",4,2
"dev42","2008-01",13,6
"dev5","2007-12",22,9
"dev5","2008-01",32,30
"dev5","2008-02",19,25
"dev42","2008-02",3,0
"dev100","2008-02",0,2
"dev5","2008-03",61,42
"dev42","2008-03",3,0
"dev43","2008-03",3,8
"dev43","2008-04",2,9
"dev100","2008-04",2,0
"dev42","2008-04",33,5
"dev5","2008-04",42,19
"dev42","2008-05",16,2
"dev42","2008-06",8,3
"dev5","2008-05",9,25
"dev5","2008-06",5,12
"dev5","2008-07",28,36
"dev5","2008-08",63,38
"dev5","2008-09",15,21
"dev43","2008-09",33,51
"dev42","2008-09",16,10
"dev5","2008-10",1,2
"dev43","2008-05",11,31
"dev43","2008-06",0,8
"dev42","2008-07",1,1
"dev43","2008-07",0,13
"dev43","2008-08",33,23
"dev42","2008-08",5,3
"dev43","2008-10",31,23
"dev42","2008-10",19,11
"dev42","2008-11",17,13
"dev43","2008-11",22,22
"dev5","2008-11",1,4
"dev43","2008-12",7,12
"dev42","2008-12",4,8
"dev5","2008-12",1,1
"dev43","2009-01",8,11
"dev42","2009-01",4,2
"dev5","2009-01",3,1
"dev42","2009-02",12,10
"dev43","2009-02",9,19
"dev5","2009-02",0,1
"dev42","2009-03",6,0
"dev43","2009-03",4,4
"dev5","2009-03",2,3
"dev43","2009-04",1,9
"dev42","2009-04",12,6
"dev5","2009-04",1,2
"dev5","2009-05",3,8
"dev43","2009-05",9,17
"dev42","2009-05",2,3
"dev42","2009-06",12,11
"dev43","2009-06",15,12
"dev5","2009-06",1,0
"dev42","2009-07",10,11
"dev43","2009-07",3,2
"dev5","2009-08",3,0
"dev42","2009-08",8,7
"dev43","2009-08",11,6
"dev42","2009-09",17,5
"dev43","2009-09",1,4
"dev42","2009-10",5,2
"dev43","2009-10",11,5
"dev5","2009-10",3,2
"dev43","2009-11",21,8
"dev5","2009-11",8,6
"dev42","2009-11",14,3
"dev43","2009-12",27,10
"dev5","2009-12",7,0
"dev42","2009-12",19,10
"dev5","2010-01",39,9
"dev106","2010-01",5,1
"dev42","2010-01",6,0
"dev106","2010-02",1,0
"dev42","2010-02",1,0
"dev5","2010-02",0,1
"dev42","2010-03",0,1
"dev5","2010-03",0,1
"dev42","2010-04",5,1
"dev106","2010-04",2,0
"dev5","2010-04",7,2
"dev5","2010-05",6,22
"dev42","2010-05",8,3
"dev43","2010-05",2,0
